smiles,melting_point (epi),melting_point (test),melting_point (measured),boiling_point (epi),boiling_point (test),boiling_point (sparc),boiling_point (measured),water_sol (chemaxon),water_sol (epi),water_sol (test),water_sol (sparc),water_sol (measured),vapor_press (epi),vapor_press (test),vapor_press (sparc),vapor_press (measured),mol_diss (sparc),henrys_law_con (epi),henrys_law_con (sparc),henrys_law_con (measured),kow_no_ph (chemaxon)_,kow_no_ph (epi),kow_no_ph (test),kow_no_ph (sparc),kow_no_ph (measured),kow_wph (chemaxon),kow_wph (sparc),koc (epi),pka_1 (chemaxon),pka_1 (sparc),pkb_1 (chemaxon),pkb_2 (chemaxon)
CC1(C)[C@@H](\C=C(/Cl)C(F)(F)F)[C@H]1C(=O)O[C@H](C#N)C1=CC=CC(OC2=CC=CC=C2)=C1,68.66,66.32,49.2,436.49,431.02,424.13,N/A,6.21E-002,8.53E-004,3.38E-002,N/A,5.00E-003,6.37E-007,2.82E-009,N/A,1.50E-009,0.02698,1.35E-005,2.59E-009,1.48E-006,5.677,6.85,5.776,6.595,7,5.677,5.589,3.41E+005,10.619,13.97644,N/A,N/A
CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)C1=CC=CC(OC2=CC=CC=C2)=C1,139.52,89.18,100,490.92,466.97,439.61,N/A,1.81E-001,1.83E-003,1.80E-002,N/A,2.00E-003,8.67E-009,3.39E-009,N/A,1.50E-008,0.0275,6.06E-008,1.18E-009,4.99E-006,5.744,6.18,5.735,7.194,6.2,5.744,7.198,7.97E+004,10.619,13.90599,N/A,N/A
