state,name,lake sq km,max concentration (cells/ml),mean concentration (cells/ml),max area high bloom (sq m),mean area high bloom,max area moderate bloom,mean area moderate bloom,max area low bloom,mean area low bloom,freq high bloom (%),freq moderate bloom (%),freq low bloom (%)
CA,Lake Almanor,100.438,2511886.432,71985.89692,153600,15915.94203,241500,56355.07246,61200,16749.27536,0.888888889,0.903381643,0.893719807
CA,Lake ID: 12076080,62.408,1737800.829,106895.5137,48300,8205.797101,41100,9247.826087,10800,2449.275362,0.879227053,0.90821256,0.835748792
CA,Clear Lake,130.842,3388441.561,253793.248,446700,66408.69565,180600,21478.26087,42600,5442.028986,0.874396135,0.888888889,0.821256039
CA,Folsom Lake,44.776,1819700.859,91112.49436,55200,9818.84058,75000,13156.52174,16800,3517.391304,0.874396135,0.922705314,0.84057971
CA,Fallen Leaf Lake,5.602,1513561.248,132424.6119,10200,2395.652174,6900,2710.144928,2400,694.2028986,0.869565217,0.84057971,0.70531401
CA,Big Bear Lake,11.024,3162277.66,198162.5571,14100,3624.637681,7500,1330.434783,3000,388.4057971,0.850241546,0.753623188,0.458937198
CA,Indian Valley Reservoir,14.042,1949844.6,196821.6329,24900,3879.710145,15300,1676.811594,2700,411.5942029,0.845410628,0.850241546,0.531400966
CA,Don Pedro Reservoir,44.737,2187761.624,73460.98602,32100,2839.130435,29700,6782.608696,8100,1852.173913,0.816425121,0.942028986,0.845410628
CA,Shaver Lake,9.052,2187761.624,100545.6922,10200,2063.768116,7200,2288.405797,2700,466.6666667,0.811594203,0.859903382,0.603864734
CA,Stampede Reservoir,13.7,1148153.621,94325.44436,23700,4591.304348,13500,4563.768116,4200,947.826087,0.806763285,0.826086957,0.700483092
CA,Big Sage Reservoir,22.605,3235936.569,274399.5214,47400,20047.82609,18300,3189.855072,3300,485.5072464,0.801932367,0.739130435,0.483091787
CA,Lake ID: 2555017,13.194,3388441.561,332641.5819,34200,8930.434783,9900,1953.623188,2100,292.7536232,0.801932367,0.68115942,0.367149758
CA,Bridgeport Reservoir,10.581,3090295.433,321010.9413,22800,8226.086957,11700,2718.84058,3300,518.8405797,0.797101449,0.714975845,0.526570048
CA,Mountain Meadows Reservoir,17.639,1174897.555,123256.9098,47400,14837.68116,28200,7894.202899,9600,1455.072464,0.792270531,0.797101449,0.710144928
CA,Black Butte Lake,18.241,1949844.6,163659.586,23100,4223.188406,13200,2440.57971,5100,663.7681159,0.787439614,0.826086957,0.608695652
CA,Lake Elsinore,9.836,2089296.131,669196.2323,25200,16617.3913,3900,292.7536232,1200,56.52173913,0.777777778,0.202898551,0.111111111
CA,Lake Crowley,19.669,3388441.561,375783.0451,43200,16940.57971,21900,2821.73913,5700,595.6521739,0.768115942,0.637681159,0.449275362
CA,Lake ID: 120051847,3.711,3388441.561,947135.5239,6000,3165.217391,2400,168.115942,1500,21.73913043,0.763285024,0.188405797,0.048309179
CA,Moon Lake,10.69,1445439.771,113534.5521,23400,7042.028986,16200,3402.898551,4500,802.8985507,0.758454106,0.734299517,0.594202899
CA,Calaveras Reservoir,6.075,1258925.412,133809.3513,6300,1685.507246,4200,985.5072464,1200,210.1449275,0.753623188,0.748792271,0.420289855
CA,Honey Lake,233.738,3388441.561,290211.2437,435600,36892.75362,133200,8708.695652,21900,1553.623188,0.748792271,0.666666667,0.526570048
CA,Meiss Lake,8.902,3388441.561,549924.007,9000,3413.043478,4200,294.2028986,900,27.53623188,0.743961353,0.289855072,0.06763285
CA,Camanche Reservoir,25.287,1513561.248,91593.55457,23700,1830.434783,17700,2684.057971,6000,1000,0.739130435,0.84057971,0.685990338
CA,Whiskeytown Lake,12.583,933254.3008,81342.4852,13200,1908.695652,10800,3713.043478,3900,627.5362319,0.739130435,0.821256039,0.661835749
CA,Clear Lake,30.515,3388441.561,468009.9002,73200,23752.17391,32100,3034.782609,4200,500,0.724637681,0.608695652,0.391304348
CA,Lake Thomas A Edison,7.565,1862087.137,103854.2436,12300,3036.231884,7800,2428.985507,3300,515.942029,0.724637681,0.695652174,0.589371981
CA,Pine Flat Lake,21,1659586.907,132869.836,7500,1362.318841,4500,1007.246377,1500,202.8985507,0.724637681,0.719806763,0.371980676
CA,Millerton Lake,15.124,1659586.907,87666.07022,18900,1994.202899,19500,3069.565217,6600,1115.942029,0.719806763,0.8647343,0.758454106
CA,Lake ID: 120054085,60.422,912010.8394,71805.60763,34500,3362.318841,44700,7197.101449,11400,1910.144928,0.710144928,0.792270531,0.642512077
CA,Lake Mathews,10.716,616595.0019,58548.05621,19500,1542.028986,16500,4085.507246,6300,1531.884058,0.710144928,0.884057971,0.859903382
CA,Bucks Lake,6.717,954992.586,81963.14683,9000,1862.318841,7200,2239.130435,1500,346.3768116,0.710144928,0.743961353,0.565217391
CA,Lake ID: 7924833,10.527,1659586.907,173754.8045,19200,5079.710145,8100,1046.376812,1800,152.173913,0.70531401,0.570048309,0.231884058
CA,Lake Henshaw,7.31,3311311.215,457194.3258,11100,3598.550725,3000,281.1594203,1500,42.02898551,0.695652174,0.38647343,0.106280193
CA,Lake ID: 120051848,11.01,3388441.561,326742.7901,14400,1871.014493,5400,444.9275362,1800,68.11594203,0.676328502,0.492753623,0.140096618
CA,Lake Pillsbury,7.987,2290867.653,240948.2176,8700,2557.971014,6900,888.4057971,1800,105.7971014,0.661835749,0.637681159,0.193236715
CA,Cherry Lake,3.749,1513561.248,88708.63017,5700,978.2608696,4500,1614.492754,1800,331.884058,0.661835749,0.830917874,0.541062802
CA,Lake ID: 8265220,6.815,3311311.215,285138.787,14700,4056.521739,5700,736.2318841,1200,111.5942029,0.657004831,0.52173913,0.231884058
