LAKE,LAT,LON,Jan-08,Jan-08,Feb-08,Feb-08,Mar-08,Mar-08,Apr-08,Apr-08,May-08,May-08,Jun-08,Jun-08,Jul-08,Jul-08,Aug-08,Aug-08,Sep-08,Sep-08,Oct-08,Oct-08,Nov-08,Nov-08,Dec-08,Dec-08,Jan-09,Jan-09,Feb-09,Feb-09,Mar-09,Mar-09,Apr-09,Apr-09,May-09,May-09,Jun-09,Jun-09,Jul-09,Jul-09,Aug-09,Aug-09,Sep-09,Sep-09,Oct-09,Oct-09,Nov-09,Nov-09,Dec-09,Dec-09,Jan-10,Jan-10,Feb-10,Feb-10,Mar-10,Mar-10,Apr-10,Apr-10,May-10,May-10,Jun-10,Jun-10,Jul-10,Jul-10,Aug-10,Aug-10,Sep-10,Sep-10,Oct-10,Oct-10,Nov-10,Nov-10,Dec-10,Dec-10,Jan-11,Jan-11,Feb-11,Feb-11,Mar-11,Mar-11,Apr-11,Apr-11,May-11,May-11,Jun-11,Jun-11,Jul-11,Jul-11,Aug-11,Aug-11,Sep-11,Sep-11,Oct-11,Oct-11,Nov-11,Nov-11,Dec-11,Dec-11
Allagash Lake,46.32,-69.53,0,0,0,0,0,0,776247.1166,776247.1166,524807.4602,524807.4602,891250.9381,891250.9381,489778.8194,489778.8194,478630.0923,478630.0923,616595.0019,616595.0019,676082.9754,676082.9754,537031.7964,537031.7964,794328.2347,794328.2347,0,0,0,0,0,0,724435.9601,724435.9601,676082.9754,676082.9754,524807.4602,524807.4602,630957.3445,630957.3445,549540.8739,549540.8739,794328.2347,794328.2347,812830.5162,812830.5162,724435.9601,724435.9601,457088.1896,457088.1896,,,,,,,,,,,,,,,,,,,,,,,,,331131.1215,331131.1215,0,0,0,0,398107.1706,398107.1706,616595.0019,616595.0019,724435.9601,724435.9601,512861.384,512861.384,275422.8703,275422.8703,501187.2336,501187.2336,724435.9601,724435.9601,537031.7964,537031.7964,489778.8194,489778.8194
Allegheny Reservoir,41.95,-78.94,165958.6907,165958.6907,104712.8548,104712.8548,398107.1706,398107.1706,354813.3892,354813.3892,407380.2778,407380.2778,380189.3963,380189.3963,851138.0382,851138.0382,1288249.552,1288249.552,1258925.412,1258925.412,1348962.883,1348962.883,1023292.992,1023292.992,870963.59,870963.59,208929.6131,208929.6131,1096478.196,1096478.196,457088.1896,457088.1896,524807.4602,524807.4602,616595.0019,616595.0019,630957.3445,630957.3445,338844.1561,338844.1561,1995262.315,1995262.315,2398832.919,2398832.919,831763.7711,831763.7711,416869.3835,416869.3835,234422.8815,234422.8815,0,0,0,0,346736.8505,346736.8505,977237.221,977237.221,363078.0548,363078.0548,177827.941,177827.941,1445439.771,1445439.771,1659586.907,1659586.907,1288249.552,1288249.552,977237.221,977237.221,1000000,1000000,43651.58322,43651.58322,229086.7653,229086.7653,0,0,181970.0859,181970.0859,398107.1706,398107.1706,0,0,0,0,1122018.454,1122018.454,2238721.139,2238721.139,1862087.137,1862087.137,2089296.131,2089296.131,1258925.412,1258925.412,870963.59,870963.59
Alligator Lake,28.21,-81.21,371535.2291,371535.2291,229086.7653,229086.7653,380189.3963,380189.3963,616595.0019,616595.0019,457088.1896,457088.1896,794328.2347,794328.2347,199526.2315,199526.2315,134896.2883,134896.2883,234422.8815,234422.8815,323593.6569,323593.6569,512861.384,512861.384,363078.0548,363078.0548,616595.0019,616595.0019,275422.8703,275422.8703,380189.3963,380189.3963,457088.1896,457088.1896,204173.7945,204173.7945,199526.2315,199526.2315,138038.4265,138038.4265,173780.0829,173780.0829,169824.3652,169824.3652,323593.6569,323593.6569,524807.4602,524807.4602,301995.172,301995.172,467735.1413,467735.1413,1148153.621,1148153.621,562341.3252,562341.3252,478630.0923,478630.0923,602559.5861,602559.5861,245470.8916,245470.8916,645654.229,645654.229,165958.6907,165958.6907,323593.6569,323593.6569,407380.2778,407380.2778,275422.8703,275422.8703,562341.3252,562341.3252,891250.9381,891250.9381,741310.2413,741310.2413,380189.3963,380189.3963,537031.7964,537031.7964,812830.5162,812830.5162,229086.7653,229086.7653,213796.209,213796.209,40738.02778,40738.02778,275422.8703,275422.8703,169824.3652,169824.3652,537031.7964,537031.7964,457088.1896,457088.1896
American Falls Reservoir,42.93,-112.7,158489.3192,158489.3192,114815.3621,114815.3621,933254.3008,933254.3008,812830.5162,812830.5162,1479108.388,1479108.388,1096478.196,1096478.196,3388441.561,3388441.561,3019951.72,3019951.72,3388441.561,3388441.561,3388441.561,3388441.561,1862087.137,1862087.137,1096478.196,1096478.196,1023292.992,1023292.992,436515.8322,436515.8322,537031.7964,537031.7964,776247.1166,776247.1166,371535.2291,371535.2291,562341.3252,562341.3252,3388441.561,3388441.561,3388441.561,3388441.561,3388441.561,3388441.561,3388441.561,3388441.561,1995262.315,1995262.315,1230268.771,1230268.771,354813.3892,354813.3892,288403.1503,288403.1503,501187.2336,501187.2336,199526.2315,199526.2315,588843.6554,588843.6554,426579.5188,426579.5188,3388441.561,3388441.561,3388441.561,3388441.561,3388441.561,3388441.561,3235936.569,3235936.569,2630267.992,2630267.992,645654.229,645654.229,741310.2413,741310.2413,602559.5861,602559.5861,588843.6554,588843.6554,660693.448,660693.448,389045.145,389045.145,891250.9381,891250.9381,3388441.561,3388441.561,3388441.561,3388441.561,3388441.561,3388441.561,3388441.561,3388441.561,1995262.315,1995262.315,1905460.718,1905460.718
Amistad Reservoir,29.52,-101.1,407380.2778,407380.2778,331131.1215,331131.1215,245470.8916,245470.8916,537031.7964,537031.7964,407380.2778,407380.2778,128824.9552,128824.9552,100000,100000,0,0,72443.59601,72443.59601,190546.0718,190546.0718,288403.1503,288403.1503,575439.9373,575439.9373,141253.7545,141253.7545,165958.6907,165958.6907,204173.7945,204173.7945,316227.766,316227.766,398107.1706,398107.1706,0,0,56234.13252,56234.13252,186208.7137,186208.7137,74131.02413,74131.02413,251188.6432,251188.6432,67608.29754,67608.29754,144543.9771,144543.9771,245470.8916,245470.8916,154881.6619,154881.6619,478630.0923,478630.0923,0,0,26302.67992,26302.67992,53703.17964,53703.17964,0,0,0,0,18620.87137,18620.87137,45708.81896,45708.81896,575439.9373,575439.9373,301995.172,301995.172,0,0,31622.7766,31622.7766,134896.2883,134896.2883,275422.8703,275422.8703,323593.6569,323593.6569,316227.766,316227.766,89125.09381,89125.09381,22908.67653,22908.67653,512861.384,512861.384,467735.1413,467735.1413,489778.8194,489778.8194,478630.0923,478630.0923
Amistad Reservoir,29.5,-101,446683.5922,446683.5922,269153.4804,269153.4804,173780.0829,173780.0829,616595.0019,616595.0019,199526.2315,199526.2315,38018.93963,38018.93963,162181.0097,162181.0097,0,0,61659.50019,61659.50019,181970.0859,181970.0859,213796.209,213796.209,398107.1706,398107.1706,169824.3652,169824.3652,263026.7992,263026.7992,549540.8739,549540.8739,389045.145,389045.145,407380.2778,407380.2778,0,0,11481.53621,11481.53621,131825.6739,131825.6739,11220.18454,11220.18454,77624.71166,77624.71166,81283.05162,81283.05162,117489.7555,117489.7555,72443.59601,72443.59601,0,0,524807.4602,524807.4602,0,0,34673.68505,34673.68505,37153.52291,37153.52291,13182.56739,13182.56739,0,0,10715.19305,10715.19305,69183.09709,69183.09709,162181.0097,162181.0097,281838.2931,281838.2931,0,0,28840.31503,28840.31503,72443.59601,72443.59601,295120.9227,295120.9227,77624.71166,77624.71166,177827.941,177827.941,0,0,0,0,151356.1248,151356.1248,177827.941,177827.941,537031.7964,537031.7964,467735.1413,467735.1413
Anacoco Lake,31.11,-93.37,676082.9754,676082.9754,660693.448,660693.448,416869.3835,416869.3835,457088.1896,457088.1896,977237.221,977237.221,426579.5188,426579.5188,537031.7964,537031.7964,309029.5433,309029.5433,851138.0382,851138.0382,2238721.139,2238721.139,1659586.907,1659586.907,724435.9601,724435.9601,501187.2336,501187.2336,602559.5861,602559.5861,416869.3835,416869.3835,977237.221,977237.221,676082.9754,676082.9754,398107.1706,398107.1706,371535.2291,371535.2291,575439.9373,575439.9373,446683.5922,446683.5922,501187.2336,501187.2336,602559.5861,602559.5861,457088.1896,457088.1896,,,,,,,,,,,,,,,,,,,,,,,,,776247.1166,776247.1166,831763.7711,831763.7711,691830.9709,691830.9709,870963.59,870963.59,794328.2347,794328.2347,1023292.992,1023292.992,549540.8739,549540.8739,602559.5861,602559.5861,1023292.992,1023292.992,1202264.435,1202264.435,346736.8505,346736.8505,1023292.992,1023292.992
Angostura Reservoir,43.31,-103.4,213796.209,213796.209,186208.7137,186208.7137,467735.1413,467735.1413,741310.2413,741310.2413,602559.5861,602559.5861,257039.5783,257039.5783,323593.6569,323593.6569,645654.229,645654.229,1202264.435,1202264.435,1584893.192,1584893.192,691830.9709,691830.9709,489778.8194,489778.8194,338844.1561,338844.1561,426579.5188,426579.5188,363078.0548,363078.0548,331131.1215,331131.1215,478630.0923,478630.0923,218776.1624,218776.1624,562341.3252,562341.3252,741310.2413,741310.2413,933254.3008,933254.3008,758577.575,758577.575,537031.7964,537031.7964,269153.4804,269153.4804,239883.2919,239883.2919,190546.0718,190546.0718,371535.2291,371535.2291,602559.5861,602559.5861,301995.172,301995.172,707945.7844,707945.7844,218776.1624,218776.1624,467735.1413,467735.1413,426579.5188,426579.5188,281838.2931,281838.2931,281838.2931,281838.2931,309029.5433,309029.5433,0,0,104712.8548,104712.8548,912010.8394,912010.8394,407380.2778,407380.2778,32359.36569,32359.36569,446683.5922,446683.5922,524807.4602,524807.4602,301995.172,301995.172,724435.9601,724435.9601,707945.7844,707945.7844,724435.9601,724435.9601,199526.2315,199526.2315
Antero Reservoir,38.99,-105.9,0,0,0,0,0,0,288403.1503,288403.1503,501187.2336,501187.2336,562341.3252,562341.3252,354813.3892,354813.3892,501187.2336,501187.2336,794328.2347,794328.2347,478630.0923,478630.0923,181970.0859,181970.0859,218776.1624,218776.1624,0,0,186208.7137,186208.7137,223872.1139,223872.1139,269153.4804,269153.4804,154881.6619,154881.6619,512861.384,512861.384,616595.0019,616595.0019,426579.5188,426579.5188,524807.4602,524807.4602,489778.8194,489778.8194,478630.0923,478630.0923,0,0,0,0,0,0,0,0,154881.6619,154881.6619,338844.1561,338844.1561,309029.5433,309029.5433,501187.2336,501187.2336,316227.766,316227.766,489778.8194,489778.8194,478630.0923,478630.0923,389045.145,389045.145,239883.2919,239883.2919,0,0,0,0,173780.0829,173780.0829,354813.3892,354813.3892,309029.5433,309029.5433,630957.3445,630957.3445,851138.0382,851138.0382,912010.8394,912010.8394,794328.2347,794328.2347,524807.4602,524807.4602,436515.8322,436515.8322,0,0
"Apopka, Lake",28.62,-81.63,3162277.66,3162277.66,3090295.433,3090295.433,2238721.139,2238721.139,2818382.931,2818382.931,3388441.561,3388441.561,3162277.66,3162277.66,2398832.919,2398832.919,2238721.139,2238721.139,2041737.945,2041737.945,2238721.139,2238721.139,2041737.945,2041737.945,1949844.6,1949844.6,2290867.653,2290867.653,2137962.09,2137962.09,1995262.315,1995262.315,2691534.804,2691534.804,3311311.215,3311311.215,1819700.859,1819700.859,1737800.829,1737800.829,1995262.315,1995262.315,1737800.829,1737800.829,1905460.718,1905460.718,1698243.652,1698243.652,1548816.619,1548816.619,1412537.545,1412537.545,1659586.907,1659586.907,1445439.771,1445439.771,1737800.829,1737800.829,2137962.09,2137962.09,1778279.41,1778279.41,2041737.945,2041737.945,1995262.315,1995262.315,1621810.097,1621810.097,1737800.829,1737800.829,1862087.137,1862087.137,1995262.315,1995262.315,1621810.097,1621810.097,2398832.919,2398832.919,2570395.783,2570395.783,1905460.718,1905460.718,2187761.624,2187761.624,2187761.624,2187761.624,2041737.945,2041737.945,1778279.41,1778279.41,1737800.829,1737800.829,1778279.41,1778279.41,1862087.137,1862087.137,2238721.139,2238721.139
