LAKE,LAT,LON,Jan-08,Jan-08,Feb-08,Feb-08,Mar-08,Mar-08,Apr-08,Apr-08,May-08,May-08,Jun-08,Jun-08,Jul-08,Jul-08,Aug-08,Aug-08,Sep-08,Sep-08,Oct-08,Oct-08,Nov-08,Nov-08,Dec-08,Dec-08,Jan-09,Jan-09,Feb-09,Feb-09,Mar-09,Mar-09,Apr-09,Apr-09,May-09,May-09,Jun-09,Jun-09,Jul-09,Jul-09,Aug-09,Aug-09,Sep-09,Sep-09,Oct-09,Oct-09,Nov-09,Nov-09,Dec-09,Dec-09,Jan-10,Jan-10,Feb-10,Feb-10,Mar-10,Mar-10,Apr-10,Apr-10,May-10,May-10,Jun-10,Jun-10,Jul-10,Jul-10,Aug-10,Aug-10,Sep-10,Sep-10,Oct-10,Oct-10,Nov-10,Nov-10,Dec-10,Dec-10,Jan-11,Jan-11,Feb-11,Feb-11,Mar-11,Mar-11,Apr-11,Apr-11,May-11,May-11,Jun-11,Jun-11,Jul-11,Jul-11,Aug-11,Aug-11,Sep-11,Sep-11,Oct-11,Oct-11,Nov-11,Nov-11,Dec-11,Dec-11
Fall River Lake,37.66,-96.09,562341.3252,562341.3252,257039.5783,257039.5783,162181.0097,162181.0097,398107.1706,398107.1706,144543.9771,144543.9771,0,0,457088.1896,457088.1896,213796.209,213796.209,380189.3963,380189.3963,245470.8916,245470.8916,234422.8815,234422.8815,549540.8739,549540.8739,281838.2931,281838.2931,512861.384,512861.384,549540.8739,549540.8739,346736.8505,346736.8505,457088.1896,457088.1896,0,0,588843.6554,588843.6554,501187.2336,501187.2336,512861.384,512861.384,575439.9373,575439.9373,169824.3652,169824.3652,158489.3192,158489.3192,,,,,,,,,,,,,,,,,,,,,,,,,446683.5922,446683.5922,281838.2931,281838.2931,457088.1896,457088.1896,436515.8322,436515.8322,380189.3963,380189.3963,426579.5188,426579.5188,309029.5433,309029.5433,251188.6432,251188.6432,724435.9601,724435.9601,1174897.555,1174897.555,537031.7964,537031.7964,398107.1706,398107.1706
Fallen Leaf Lake,38.9,-120.1,707945.7844,707945.7844,758577.575,758577.575,588843.6554,588843.6554,831763.7711,831763.7711,602559.5861,602559.5861,562341.3252,562341.3252,630957.3445,630957.3445,478630.0923,478630.0923,676082.9754,676082.9754,575439.9373,575439.9373,630957.3445,630957.3445,812830.5162,812830.5162,1023292.992,1023292.992,741310.2413,741310.2413,645654.229,645654.229,776247.1166,776247.1166,467735.1413,467735.1413,436515.8322,436515.8322,645654.229,645654.229,426579.5188,426579.5188,436515.8322,436515.8322,537031.7964,537031.7964,660693.448,660693.448,1412537.545,1412537.545,549540.8739,549540.8739,1000000,1000000,831763.7711,831763.7711,954992.586,954992.586,478630.0923,478630.0923,489778.8194,489778.8194,338844.1561,338844.1561,269153.4804,269153.4804,239883.2919,239883.2919,870963.59,870963.59,537031.7964,537031.7964,645654.229,645654.229,776247.1166,776247.1166,724435.9601,724435.9601,371535.2291,371535.2291,478630.0923,478630.0923,616595.0019,616595.0019,645654.229,645654.229,380189.3963,380189.3963,323593.6569,323593.6569,363078.0548,363078.0548,436515.8322,436515.8322,1513561.248,1513561.248,1023292.992,1023292.992
Falls Lake Reservoir,36.04,-78.72,1380384.265,1380384.265,1380384.265,1380384.265,1318256.739,1318256.739,691830.9709,691830.9709,954992.586,954992.586,1548816.619,1548816.619,1949844.6,1949844.6,2238721.139,2238721.139,1737800.829,1737800.829,1659586.907,1659586.907,1412537.545,1412537.545,933254.3008,933254.3008,660693.448,660693.448,1258925.412,1258925.412,794328.2347,794328.2347,1202264.435,1202264.435,1548816.619,1548816.619,1148153.621,1148153.621,1778279.41,1778279.41,1737800.829,1737800.829,2290867.653,2290867.653,2344228.815,2344228.815,1995262.315,1995262.315,398107.1706,398107.1706,1071519.305,1071519.305,831763.7711,831763.7711,851138.0382,851138.0382,1445439.771,1445439.771,1819700.859,1819700.859,933254.3008,933254.3008,1659586.907,1659586.907,3090295.433,3090295.433,1819700.859,1819700.859,1905460.718,1905460.718,1659586.907,1659586.907,1288249.552,1288249.552,1548816.619,1548816.619,1905460.718,1905460.718,1737800.829,1737800.829,1047128.548,1047128.548,1380384.265,1380384.265,1584893.192,1584893.192,2187761.624,2187761.624,2238721.139,2238721.139,2290867.653,2290867.653,2754228.703,2754228.703,2238721.139,2238721.139,1659586.907,1659586.907
Farm Island Lake,46.42,-93.77,0,0,1513561.248,1513561.248,0,0,616595.0019,616595.0019,22387.21139,22387.21139,281838.2931,281838.2931,52480.74602,52480.74602,208929.6131,208929.6131,602559.5861,602559.5861,416869.3835,416869.3835,154881.6619,154881.6619,0,0,0,0,0,0,0,0,794328.2347,794328.2347,104712.8548,104712.8548,42657.95188,42657.95188,295120.9227,295120.9227,446683.5922,446683.5922,1380384.265,1380384.265,851138.0382,851138.0382,537031.7964,537031.7964,295120.9227,295120.9227,0,0,0,0,371535.2291,371535.2291,537031.7964,537031.7964,316227.766,316227.766,245470.8916,245470.8916,199526.2315,199526.2315,851138.0382,851138.0382,1047128.548,1047128.548,549540.8739,549540.8739,301995.172,301995.172,0,0,0,0,0,0,0,0,295120.9227,295120.9227,0,0,0,0,165958.6907,165958.6907,371535.2291,371535.2291,645654.229,645654.229,501187.2336,501187.2336,1230268.771,1230268.771,501187.2336,501187.2336
Fence Lake,45.95,-89.84,0,0,0,0,0,0,263026.7992,263026.7992,512861.384,512861.384,263026.7992,263026.7992,309029.5433,309029.5433,323593.6569,323593.6569,389045.145,389045.145,602559.5861,602559.5861,204173.7945,204173.7945,0,0,0,0,0,0,154881.6619,154881.6619,398107.1706,398107.1706,630957.3445,630957.3445,190546.0718,190546.0718,316227.766,316227.766,426579.5188,426579.5188,467735.1413,467735.1413,616595.0019,616595.0019,660693.448,660693.448,354813.3892,354813.3892,0,0,0,0,389045.145,389045.145,436515.8322,436515.8322,218776.1624,218776.1624,288403.1503,288403.1503,288403.1503,288403.1503,134896.2883,134896.2883,537031.7964,537031.7964,426579.5188,426579.5188,616595.0019,616595.0019,0,0,0,0,0,0,0,0,245470.8916,245470.8916,380189.3963,380189.3963,245470.8916,245470.8916,281838.2931,281838.2931,269153.4804,269153.4804,269153.4804,269153.4804,549540.8739,549540.8739,1412537.545,1412537.545,616595.0019,616595.0019
Fern Ridge Lake,44.09,-123.3,1096478.196,1096478.196,1380384.265,1380384.265,1659586.907,1659586.907,1000000,1000000,812830.5162,812830.5162,269153.4804,269153.4804,537031.7964,537031.7964,281838.2931,281838.2931,758577.575,758577.575,1348962.883,1348962.883,1047128.548,1047128.548,1202264.435,1202264.435,1096478.196,1096478.196,1047128.548,1047128.548,1318256.739,1318256.739,851138.0382,851138.0382,457088.1896,457088.1896,323593.6569,323593.6569,251188.6432,251188.6432,549540.8739,549540.8739,331131.1215,331131.1215,1148153.621,1148153.621,1230268.771,1230268.771,1174897.555,1174897.555,831763.7711,831763.7711,1174897.555,1174897.555,1174897.555,1174897.555,602559.5861,602559.5861,416869.3835,416869.3835,741310.2413,741310.2413,323593.6569,323593.6569,446683.5922,446683.5922,933254.3008,933254.3008,2511886.432,2511886.432,1318256.739,1318256.739,1122018.454,1122018.454,758577.575,758577.575,1047128.548,1047128.548,912010.8394,912010.8394,630957.3445,630957.3445,446683.5922,446683.5922,61659.50019,61659.50019,234422.8815,234422.8815,380189.3963,380189.3963,269153.4804,269153.4804,1202264.435,1202264.435,977237.221,977237.221,1513561.248,1513561.248
Fife Lake,44.57,-85.34,0,0,0,0,0,0,186208.7137,186208.7137,251188.6432,251188.6432,131825.6739,131825.6739,112201.8454,112201.8454,120226.4435,120226.4435,316227.766,316227.766,537031.7964,537031.7964,363078.0548,363078.0548,0,0,0,0,0,0,199526.2315,199526.2315,295120.9227,295120.9227,112201.8454,112201.8454,0,0,0,0,10715.19305,10715.19305,104712.8548,104712.8548,512861.384,512861.384,199526.2315,199526.2315,0,0,1258925.412,1258925.412,0,0,363078.0548,363078.0548,389045.145,389045.145,120226.4435,120226.4435,70794.57844,70794.57844,234422.8815,234422.8815,138038.4265,138038.4265,331131.1215,331131.1215,416869.3835,416869.3835,363078.0548,363078.0548,0,0,0,0,0,0,0,0,295120.9227,295120.9227,173780.0829,173780.0829,446683.5922,446683.5922,53703.17964,53703.17964,11481.53621,11481.53621,0,0,263026.7992,263026.7992,707945.7844,707945.7844,501187.2336,501187.2336
Fifth Machias Lake,45.04,-67.98,0,0,0,0,0,0,457088.1896,457088.1896,812830.5162,812830.5162,234422.8815,234422.8815,239883.2919,239883.2919,223872.1139,223872.1139,301995.172,301995.172,724435.9601,724435.9601,1023292.992,1023292.992,446683.5922,446683.5922,0,0,0,0,0,0,257039.5783,257039.5783,630957.3445,630957.3445,223872.1139,223872.1139,199526.2315,199526.2315,213796.209,213796.209,794328.2347,794328.2347,707945.7844,707945.7844,870963.59,870963.59,1096478.196,1096478.196,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,223872.1139,223872.1139,758577.575,758577.575,281838.2931,281838.2931,338844.1561,338844.1561,562341.3252,562341.3252,288403.1503,288403.1503,281838.2931,281838.2931,645654.229,645654.229,562341.3252,562341.3252,1071519.305,1071519.305
First Lake,46.18,-68.83,0,0,0,0,0,0,316227.766,316227.766,602559.5861,602559.5861,478630.0923,478630.0923,346736.8505,346736.8505,245470.8916,245470.8916,562341.3252,562341.3252,741310.2413,741310.2413,275422.8703,275422.8703,851138.0382,851138.0382,0,0,0,0,0,0,457088.1896,457088.1896,524807.4602,524807.4602,301995.172,301995.172,346736.8505,346736.8505,331131.1215,331131.1215,794328.2347,794328.2347,549540.8739,549540.8739,407380.2778,407380.2778,512861.384,512861.384,,,,,,,,,,,,,,,,,,,,,,,,,537031.7964,537031.7964,0,0,0,0,467735.1413,467735.1413,478630.0923,478630.0923,199526.2315,199526.2315,416869.3835,416869.3835,416869.3835,416869.3835,776247.1166,776247.1166,562341.3252,562341.3252,1000000,1000000,691830.9709,691830.9709
Fish Lake,38.55,-111.7,0,0,0,0,0,0,0,0,870963.59,870963.59,1513561.248,1513561.248,1698243.652,1698243.652,1862087.137,1862087.137,1698243.652,1698243.652,1288249.552,1288249.552,1288249.552,1288249.552,977237.221,977237.221,141253.7545,141253.7545,0,0,0,0,562341.3252,562341.3252,1096478.196,1096478.196,1348962.883,1348962.883,1318256.739,1318256.739,2137962.09,2137962.09,1621810.097,1621810.097,1288249.552,1288249.552,1380384.265,1380384.265,416869.3835,416869.3835,0,0,0,0,0,0,407380.2778,407380.2778,741310.2413,741310.2413,1318256.739,1318256.739,1258925.412,1258925.412,1412537.545,1412537.545,1548816.619,1548816.619,1000000,1000000,794328.2347,794328.2347,316227.766,316227.766,0,0,0,0,0,0,0,0,562341.3252,562341.3252,794328.2347,794328.2347,549540.8739,549540.8739,512861.384,512861.384,1000000,1000000,1380384.265,1380384.265,301995.172,301995.172,309029.5433,309029.5433
Fish Lake,46.36,-95.93,0,0,0,0,0,0,83176.37711,83176.37711,0,0,275422.8703,275422.8703,588843.6554,588843.6554,537031.7964,537031.7964,724435.9601,724435.9601,416869.3835,416869.3835,275422.8703,275422.8703,0,0,0,0,0,0,0,0,0,0,0,0,549540.8739,549540.8739,724435.9601,724435.9601,467735.1413,467735.1413,602559.5861,602559.5861,204173.7945,204173.7945,0,0,0,0,0,0,0,0,169824.3652,169824.3652,223872.1139,223872.1139,50118.72336,50118.72336,281838.2931,281838.2931,407380.2778,407380.2778,537031.7964,537031.7964,812830.5162,812830.5162,199526.2315,199526.2315,0,0,0,0,0,0,0,0,0,0,97723.7221,97723.7221,0,0,46773.51413,46773.51413,436515.8322,436515.8322,489778.8194,489778.8194,851138.0382,851138.0382,275422.8703,275422.8703,154881.6619,154881.6619,229086.7653,229086.7653
Fish Lake,46.7,-96.03,0,0,0,0,0,0,245470.8916,245470.8916,831763.7711,831763.7711,97723.7221,97723.7221,204173.7945,204173.7945,234422.8815,234422.8815,316227.766,316227.766,186208.7137,186208.7137,194984.46,194984.46,0,0,0,0,0,0,0,0,186208.7137,186208.7137,158489.3192,158489.3192,512861.384,512861.384,309029.5433,309029.5433,363078.0548,363078.0548,407380.2778,407380.2778,199526.2315,199526.2315,354813.3892,354813.3892,0,0,0,0,0,0,181970.0859,181970.0859,234422.8815,234422.8815,316227.766,316227.766,309029.5433,309029.5433,181970.0859,181970.0859,338844.1561,338844.1561,363078.0548,363078.0548,407380.2778,407380.2778,301995.172,301995.172,0,0,0,0,0,0,0,0,199526.2315,199526.2315,41686.93835,41686.93835,208929.6131,208929.6131,173780.0829,173780.0829,181970.0859,181970.0859,467735.1413,467735.1413,912010.8394,912010.8394,549540.8739,549540.8739,301995.172,301995.172
Fish Lake Reservoir,46.94,-92.28,0,0,0,0,0,0,213796.209,213796.209,602559.5861,602559.5861,190546.0718,190546.0718,954992.586,954992.586,1230268.771,1230268.771,1288249.552,1288249.552,537031.7964,537031.7964,173780.0829,173780.0829,0,0,0,0,0,0,0,0,371535.2291,371535.2291,218776.1624,218776.1624,151356.1248,151356.1248,269153.4804,269153.4804,812830.5162,812830.5162,741310.2413,741310.2413,1318256.739,1318256.739,316227.766,316227.766,0,0,0,0,0,0,181970.0859,181970.0859,436515.8322,436515.8322,269153.4804,269153.4804,346736.8505,346736.8505,1000000,1000000,1122018.454,1122018.454,1445439.771,1445439.771,562341.3252,562341.3252,467735.1413,467735.1413,0,0,0,0,0,0,0,0,562341.3252,562341.3252,446683.5922,446683.5922,204173.7945,204173.7945,851138.0382,851138.0382,1096478.196,1096478.196,1819700.859,1819700.859,1122018.454,1122018.454,331131.1215,331131.1215,1023292.992,1023292.992
Fish River Lake,46.83,-68.77,0,0,0,0,0,0,158489.3192,158489.3192,891250.9381,891250.9381,660693.448,660693.448,371535.2291,371535.2291,588843.6554,588843.6554,549540.8739,549540.8739,537031.7964,537031.7964,354813.3892,354813.3892,0,0,0,0,0,0,0,0,524807.4602,524807.4602,776247.1166,776247.1166,316227.766,316227.766,371535.2291,371535.2291,407380.2778,407380.2778,630957.3445,630957.3445,630957.3445,630957.3445,478630.0923,478630.0923,512861.384,512861.384,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,380189.3963,380189.3963,338844.1561,338844.1561,446683.5922,446683.5922,426579.5188,426579.5188,331131.1215,331131.1215,758577.575,758577.575,562341.3252,562341.3252,457088.1896,457088.1896,537031.7964,537031.7964
Flagstaff Lake,45.2,-70.31,0,0,0,0,0,0,1202264.435,1202264.435,1047128.548,1047128.548,660693.448,660693.448,537031.7964,537031.7964,588843.6554,588843.6554,851138.0382,851138.0382,977237.221,977237.221,1122018.454,1122018.454,0,0,0,0,0,0,257039.5783,257039.5783,912010.8394,912010.8394,575439.9373,575439.9373,436515.8322,436515.8322,389045.145,389045.145,331131.1215,331131.1215,933254.3008,933254.3008,1148153.621,1148153.621,831763.7711,831763.7711,602559.5861,602559.5861,,,,,,,,,,,,,,,,,,,,,,,,,53703.17964,53703.17964,0,0,0,0,1122018.454,1122018.454,588843.6554,588843.6554,1230268.771,1230268.771,524807.4602,524807.4602,616595.0019,616595.0019,588843.6554,588843.6554,794328.2347,794328.2347,954992.586,954992.586,1737800.829,1737800.829
Flaming Gorge Reservoir,40.96,-109.5,229086.7653,229086.7653,120226.4435,120226.4435,630957.3445,630957.3445,309029.5433,309029.5433,309029.5433,309029.5433,371535.2291,371535.2291,281838.2931,281838.2931,100000,100000,371535.2291,371535.2291,301995.172,301995.172,301995.172,301995.172,165958.6907,165958.6907,263026.7992,263026.7992,194984.46,194984.46,316227.766,316227.766,181970.0859,181970.0859,309029.5433,309029.5433,524807.4602,524807.4602,288403.1503,288403.1503,371535.2291,371535.2291,309029.5433,309029.5433,269153.4804,269153.4804,338844.1561,338844.1561,354813.3892,354813.3892,354813.3892,354813.3892,169824.3652,169824.3652,234422.8815,234422.8815,316227.766,316227.766,467735.1413,467735.1413,398107.1706,398107.1706,407380.2778,407380.2778,147910.8388,147910.8388,380189.3963,380189.3963,316227.766,316227.766,204173.7945,204173.7945,239883.2919,239883.2919,169824.3652,169824.3652,229086.7653,229086.7653,194984.46,194984.46,213796.209,213796.209,436515.8322,436515.8322,354813.3892,354813.3892,309029.5433,309029.5433,173780.0829,173780.0829,213796.209,213796.209,331131.1215,331131.1215,691830.9709,691830.9709,199526.2315,199526.2315
Flaming Gorge Reservoir,40.96,-109.6,257039.5783,257039.5783,0,0,602559.5861,602559.5861,457088.1896,457088.1896,380189.3963,380189.3963,616595.0019,616595.0019,588843.6554,588843.6554,512861.384,512861.384,489778.8194,489778.8194,588843.6554,588843.6554,398107.1706,398107.1706,245470.8916,245470.8916,323593.6569,323593.6569,199526.2315,199526.2315,295120.9227,295120.9227,363078.0548,363078.0548,371535.2291,371535.2291,870963.59,870963.59,645654.229,645654.229,436515.8322,436515.8322,524807.4602,524807.4602,602559.5861,602559.5861,446683.5922,446683.5922,363078.0548,363078.0548,251188.6432,251188.6432,173780.0829,173780.0829,177827.941,177827.941,371535.2291,371535.2291,478630.0923,478630.0923,446683.5922,446683.5922,501187.2336,501187.2336,489778.8194,489778.8194,549540.8739,549540.8739,363078.0548,363078.0548,316227.766,316227.766,380189.3963,380189.3963,218776.1624,218776.1624,120226.4435,120226.4435,371535.2291,371535.2291,416869.3835,416869.3835,549540.8739,549540.8739,602559.5861,602559.5861,389045.145,389045.145,446683.5922,446683.5922,371535.2291,371535.2291,489778.8194,489778.8194,501187.2336,501187.2336,218776.1624,218776.1624
Flaming Gorge Reservoir,41.18,-109.5,295120.9227,295120.9227,134896.2883,134896.2883,676082.9754,676082.9754,426579.5188,426579.5188,1000000,1000000,645654.229,645654.229,724435.9601,724435.9601,758577.575,758577.575,1445439.771,1445439.771,1995262.315,1995262.315,512861.384,512861.384,229086.7653,229086.7653,263026.7992,263026.7992,229086.7653,229086.7653,251188.6432,251188.6432,512861.384,512861.384,630957.3445,630957.3445,741310.2413,741310.2413,616595.0019,616595.0019,2089296.131,2089296.131,1819700.859,1819700.859,2041737.945,2041737.945,549540.8739,549540.8739,275422.8703,275422.8703,229086.7653,229086.7653,213796.209,213796.209,218776.1624,218776.1624,389045.145,389045.145,537031.7964,537031.7964,575439.9373,575439.9373,407380.2778,407380.2778,691830.9709,691830.9709,1258925.412,1258925.412,933254.3008,933254.3008,281838.2931,281838.2931,213796.209,213796.209,257039.5783,257039.5783,190546.0718,190546.0718,309029.5433,309029.5433,549540.8739,549540.8739,691830.9709,691830.9709,676082.9754,676082.9754,575439.9373,575439.9373,1659586.907,1659586.907,2511886.432,2511886.432,912010.8394,912010.8394,831763.7711,831763.7711,338844.1561,338844.1561
Flat Lake,46.97,-95.66,0,0,0,0,0,0,363078.0548,363078.0548,741310.2413,741310.2413,630957.3445,630957.3445,912010.8394,912010.8394,1202264.435,1202264.435,1174897.555,1174897.555,1023292.992,1023292.992,426579.5188,426579.5188,0,0,0,0,0,0,0,0,398107.1706,398107.1706,1047128.548,1047128.548,977237.221,977237.221,977237.221,977237.221,1122018.454,1122018.454,1258925.412,1258925.412,933254.3008,933254.3008,645654.229,645654.229,0,0,0,0,0,0,478630.0923,478630.0923,812830.5162,812830.5162,1174897.555,1174897.555,933254.3008,933254.3008,870963.59,870963.59,794328.2347,794328.2347,724435.9601,724435.9601,851138.0382,851138.0382,501187.2336,501187.2336,0,0,0,0,0,0,0,0,575439.9373,575439.9373,676082.9754,676082.9754,933254.3008,933254.3008,851138.0382,851138.0382,1071519.305,1071519.305,1230268.771,1230268.771,977237.221,977237.221,707945.7844,707945.7844,446683.5922,446683.5922
Flathead Lake,47.89,-114.1,1000000,1000000,1174897.555,1174897.555,1995262.315,1995262.315,758577.575,758577.575,549540.8739,549540.8739,891250.9381,891250.9381,616595.0019,616595.0019,912010.8394,912010.8394,660693.448,660693.448,1174897.555,1174897.555,933254.3008,933254.3008,851138.0382,851138.0382,724435.9601,724435.9601,741310.2413,741310.2413,691830.9709,691830.9709,602559.5861,602559.5861,562341.3252,562341.3252,2884031.503,2884031.503,478630.0923,478630.0923,1380384.265,1380384.265,851138.0382,851138.0382,1174897.555,1174897.555,758577.575,758577.575,707945.7844,707945.7844,457088.1896,457088.1896,1000000,1000000,912010.8394,912010.8394,912010.8394,912010.8394,630957.3445,630957.3445,489778.8194,489778.8194,758577.575,758577.575,776247.1166,776247.1166,616595.0019,616595.0019,524807.4602,524807.4602,0,0,1023292.992,1023292.992,645654.229,645654.229,380189.3963,380189.3963,724435.9601,724435.9601,776247.1166,776247.1166,831763.7711,831763.7711,776247.1166,776247.1166,588843.6554,588843.6554,501187.2336,501187.2336,724435.9601,724435.9601,1148153.621,1148153.621,776247.1166,776247.1166,707945.7844,707945.7844
Fletcher Pond,44.98,-83.86,0,0,0,0,74131.02413,74131.02413,812830.5162,812830.5162,467735.1413,467735.1413,549540.8739,549540.8739,537031.7964,537031.7964,524807.4602,524807.4602,758577.575,758577.575,812830.5162,812830.5162,537031.7964,537031.7964,169824.3652,169824.3652,0,0,0,0,323593.6569,323593.6569,512861.384,512861.384,616595.0019,616595.0019,181970.0859,181970.0859,758577.575,758577.575,831763.7711,831763.7711,812830.5162,812830.5162,691830.9709,691830.9709,562341.3252,562341.3252,2187761.624,2187761.624,0,0,0,0,645654.229,645654.229,602559.5861,602559.5861,537031.7964,537031.7964,537031.7964,537031.7964,630957.3445,630957.3445,602559.5861,602559.5861,977237.221,977237.221,1288249.552,1288249.552,630957.3445,630957.3445,691830.9709,691830.9709,0,0,436515.8322,436515.8322,0,0,562341.3252,562341.3252,537031.7964,537031.7964,371535.2291,371535.2291,489778.8194,489778.8194,478630.0923,478630.0923,1174897.555,1174897.555,645654.229,645654.229,1071519.305,1071519.305,1096478.196,1096478.196
Folsom Lake,38.74,-121.1,645654.229,645654.229,851138.0382,851138.0382,616595.0019,616595.0019,602559.5861,602559.5861,630957.3445,630957.3445,616595.0019,616595.0019,707945.7844,707945.7844,316227.766,316227.766,616595.0019,616595.0019,588843.6554,588843.6554,630957.3445,630957.3445,1023292.992,1023292.992,912010.8394,912010.8394,724435.9601,724435.9601,1318256.739,1318256.739,416869.3835,416869.3835,524807.4602,524807.4602,630957.3445,630957.3445,316227.766,316227.766,371535.2291,371535.2291,691830.9709,691830.9709,1047128.548,1047128.548,1318256.739,1318256.739,1148153.621,1148153.621,891250.9381,891250.9381,602559.5861,602559.5861,1819700.859,1819700.859,851138.0382,851138.0382,489778.8194,489778.8194,457088.1896,457088.1896,562341.3252,562341.3252,660693.448,660693.448,457088.1896,457088.1896,316227.766,316227.766,537031.7964,537031.7964,616595.0019,616595.0019,616595.0019,616595.0019,562341.3252,562341.3252,436515.8322,436515.8322,851138.0382,851138.0382,263026.7992,263026.7992,331131.1215,331131.1215,346736.8505,346736.8505,478630.0923,478630.0923,281838.2931,281838.2931,524807.4602,524807.4602,1148153.621,1148153.621,831763.7711,831763.7711
Fontenelle Reservoir,42.08,-110.1,0,0,0,0,0,0,512861.384,512861.384,354813.3892,354813.3892,407380.2778,407380.2778,977237.221,977237.221,1905460.718,1905460.718,912010.8394,912010.8394,707945.7844,707945.7844,257039.5783,257039.5783,138038.4265,138038.4265,194984.46,194984.46,79432.82347,79432.82347,181970.0859,181970.0859,588843.6554,588843.6554,309029.5433,309029.5433,194984.46,194984.46,588843.6554,588843.6554,457088.1896,457088.1896,851138.0382,851138.0382,2818382.931,2818382.931,371535.2291,371535.2291,114815.3621,114815.3621,0,0,0,0,120226.4435,120226.4435,630957.3445,630957.3445,331131.1215,331131.1215,407380.2778,407380.2778,446683.5922,446683.5922,562341.3252,562341.3252,1995262.315,1995262.315,398107.1706,398107.1706,354813.3892,354813.3892,213796.209,213796.209,0,0,0,0,0,0,660693.448,660693.448,660693.448,660693.448,870963.59,870963.59,512861.384,512861.384,245470.8916,245470.8916,1096478.196,1096478.196,912010.8394,912010.8394,245470.8916,245470.8916,0,0
Fontenelle Reservoir,42.06,-110.1,0,0,0,0,0,0,309029.5433,309029.5433,63095.73445,63095.73445,218776.1624,218776.1624,457088.1896,457088.1896,602559.5861,602559.5861,269153.4804,269153.4804,173780.0829,173780.0829,112201.8454,112201.8454,24547.08916,24547.08916,158489.3192,158489.3192,61659.50019,61659.50019,162181.0097,162181.0097,83176.37711,83176.37711,102329.2992,102329.2992,173780.0829,173780.0829,309029.5433,309029.5433,436515.8322,436515.8322,363078.0548,363078.0548,181970.0859,181970.0859,154881.6619,154881.6619,169824.3652,169824.3652,0,0,0,0,138038.4265,138038.4265,104712.8548,104712.8548,125892.5412,125892.5412,199526.2315,199526.2315,389045.145,389045.145,229086.7653,229086.7653,229086.7653,229086.7653,72443.59601,72443.59601,117489.7555,117489.7555,60255.95861,60255.95861,0,0,0,0,0,0,190546.0718,190546.0718,0,0,234422.8815,234422.8815,380189.3963,380189.3963,147910.8388,147910.8388,239883.2919,239883.2919,131825.6739,131825.6739,79432.82347,79432.82347,0,0
Fontenelle Reservoir,42.04,-110.1,0,0,0,0,0,0,331131.1215,331131.1215,89125.09381,89125.09381,288403.1503,288403.1503,912010.8394,912010.8394,691830.9709,691830.9709,162181.0097,162181.0097,141253.7545,141253.7545,147910.8388,147910.8388,50118.72336,50118.72336,141253.7545,141253.7545,67608.29754,67608.29754,35481.33892,35481.33892,66069.3448,66069.3448,169824.3652,169824.3652,165958.6907,165958.6907,389045.145,389045.145,371535.2291,371535.2291,1047128.548,1047128.548,138038.4265,138038.4265,245470.8916,245470.8916,138038.4265,138038.4265,0,0,0,0,0,0,87096.359,87096.359,199526.2315,199526.2315,323593.6569,323593.6569,407380.2778,407380.2778,223872.1139,223872.1139,158489.3192,158489.3192,112201.8454,112201.8454,79432.82347,79432.82347,75857.7575,75857.7575,0,0,0,0,0,0,69183.09709,69183.09709,275422.8703,275422.8703,251188.6432,251188.6432,204173.7945,204173.7945,66069.3448,66069.3448,162181.0097,162181.0097,173780.0829,173780.0829,91201.08394,91201.08394,0,0
Forest Lake,45.27,-92.95,0,0,0,0,0,0,194984.46,194984.46,288403.1503,288403.1503,489778.8194,489778.8194,870963.59,870963.59,1202264.435,1202264.435,1318256.739,1318256.739,812830.5162,812830.5162,724435.9601,724435.9601,0,0,0,0,0,0,186208.7137,186208.7137,309029.5433,309029.5433,61659.50019,61659.50019,288403.1503,288403.1503,436515.8322,436515.8322,707945.7844,707945.7844,1000000,1000000,489778.8194,489778.8194,354813.3892,354813.3892,398107.1706,398107.1706,0,0,0,0,331131.1215,331131.1215,501187.2336,501187.2336,512861.384,512861.384,223872.1139,223872.1139,891250.9381,891250.9381,1621810.097,1621810.097,1584893.192,1584893.192,1288249.552,1288249.552,524807.4602,524807.4602,0,0,0,0,0,0,0,0,331131.1215,331131.1215,91201.08394,91201.08394,295120.9227,295120.9227,1202264.435,1202264.435,1584893.192,1584893.192,1479108.388,1479108.388,1412537.545,1412537.545,1000000,1000000,457088.1896,457088.1896
