Activity,Formulation,AppEquip,AppType,Category,AppRateUnit,TreatedVal,TreatedUnit,DUESLNoG,DUESLG,DUEDLG,DUESLGCRH,DUEDLGCRH,DUEEC,IUENoR,IUEPF5R,IUEPF10R,IUEEC,SourceCategory,SourceMRID,SourceDescription,SourceDER
M/L/A,WSP,Backpack,Ground/soil-directed,Christmas Tree farm,lb ai/gallon,40,gallons,8260,8260,4120,No Data,No Data,No Data,2.58,0.516,0.258,No Data,Proprietary,44339801,"Beard, 1997 (xmas trees_backpack)",D284121 & D242325
M/L/A,WSP,Backpack,Ground/soil-directed,Forestry,lb ai/gallon,40,gallons,8260,8260,4120,No Data,No Data,No Data,2.58,0.516,0.258,No Data,Proprietary,44339801,"Beard, 1997 (xmas trees_backpack)",D284121 & D242325
M/L/A,WSP,Backpack,Broadcast,Forestry,lb ai/gallon,40,gallons,58400,30500,16900,No Data,No Data,No Data,69.1,13.8,6.9,No Data,AHETF,49478601,"AHETF, 2014 (AHE1012; Backpack ""ROW"" Applicator)",D424145
M/L/A,WSP,Backpack,Broadcast (foliar),"Nursery (ornamentals, vegetables, trees, container stock)",lb ai/gallon,40,gallons,58400,30500,16900,No Data,No Data,No Data,69.1,13.8,6.9,No Data,AHETF,49478601,"AHETF, 2014 (AHE1012; Backpack ""ROW"" Applicator)",D424145
M/L/A,WSP,Backpack,Ground/soil-directed,"Nursery (ornamentals, vegetables, trees, container stock)",lb ai/gallon,40,gallons,8260,8260,4120,No Data,No Data,No Data,2.58,0.516,0.258,No Data,Proprietary,44339801,"Beard, 1997 (xmas trees_backpack)",D284121 & D242325
M/L/A,WSP,Backpack,Broadcast (foliar),"Landscaping, trees/shrubs/bushes",lb ai/gallon,40,gallons,58400,30500,16900,No Data,No Data,No Data,69.1,13.8,6.9,No Data,AHETF,49478601,"AHETF, 2014 (AHE1012; Backpack ""ROW"" Applicator)",D424145
M/L/A,WSP,Backpack,Broadcast (foliar),"Landscaping, plants/flowers",lb ai/gallon,40,gallons,58400,30500,16900,No Data,No Data,No Data,69.1,13.8,6.9,No Data,AHETF,49478601,"AHETF, 2014 (AHE1012; Backpack ""ROW"" Applicator)",D424145
M/L/A,WSP,Backpack,Broadcast,"Landscaping, turf (lawns, athletic fields, parks, etc.)",lb ai/gallon,40,gallons,58400,30500,16900,No Data,No Data,No Data,69.1,13.8,6.9,No Data,AHETF,49478601,"AHETF, 2014 (AHE1012; Backpack ""ROW"" Applicator)",D424145
M/L/A,WSP,Backpack,Spot,"Landscaping, turf (lawns, athletic fields, parks, etc.)",lb ai/gallon,40,gallons,8260,8260,4120,No Data,No Data,No Data,2.58,0.516,0.258,No Data,Proprietary,44339801,"Beard, 1997 (xmas trees_backpack)",D284121 & D242325
M/L/A,WSP,Backpack,Broadcast,"Structural (e.g., bridges, shipyards, home decks, foundations)",lb ai/gallon,40,gallons,2510,2500,1600,No Data,No Data,No Data,30,6,3,No Data,PHED,NA,PHED Scenario 34,NA
M/L/A,WSP,Backpack,Broadcast,Structural (termiticide),lb ai/gallon,40,gallons,2510,2500,1600,No Data,No Data,No Data,30,6,3,No Data,PHED,NA,PHED Scenario 34,NA
M/L/A,WSP,Backpack,Broadcast,"Industrial/commercial (tires, rail yards, junk yards, etc.)",lb ai/gallon,40,gallons,2510,2500,1600,No Data,No Data,No Data,30,6,3,No Data,PHED,NA,PHED Scenario 34,NA
M/L/A,WSP,Backpack,Broadcast,"Animal (direct), livestock",lb ai/gallon,40,gallons,2510,2500,1600,No Data,No Data,No Data,30,6,3,No Data,PHED,NA,PHED Scenario 34,NA
M/L/A,WSP,Backpack,Broadcast,Poultry/livestock house/horse barn/feed lot,lb ai/gallon,40,gallons,2510,2500,1600,No Data,No Data,No Data,30,6,3,No Data,PHED,NA,PHED Scenario 34,NA
M/L/A,WSP,Backpack,Broadcast,Foundations/perimeter,lb ai/gallon,40,gallons,8260,8260,4120,No Data,No Data,No Data,2.58,0.516,0.258,No Data,Proprietary,44339801,"Beard, 1997 (xmas trees_backpack)",D284121 & D242325
M/L/A,WSP,Backpack,Broadcast,Mosquitocide/larvacide/vector control (aquatic areas) ,lbs ai/acre,5,acres,8260,8260,4120,No Data,No Data,No Data,2.58,0.516,0.258,No Data,Proprietary,44339801,"Beard, 1997 (xmas trees_backpack)",D284121 & D242325
M/L/A,WSP,Backpack,Broadcast,"Aquatic areas, non-flowing water (e.g., ponds, lakes, fountains)",lbs ai/acre,5,acres,8260,8260,4120,No Data,No Data,No Data,2.58,0.516,0.258,No Data,Proprietary,44339801,"Beard, 1997 (xmas trees_backpack)",D284121 & D242325
M/L/A,WSP,Backpack,Broadcast,"Aquatic areas, flowing water (e.g., tributaries, canals)",lbs ai/cfs,200,cfs,8260,8260,4120,No Data,No Data,No Data,2.58,0.516,0.258,No Data,Proprietary,44339801,"Beard, 1997 (xmas trees_backpack)",D284121 & D242325
M/L/A,WSP,Handheld Fogger,Broadcast,Mushroom house,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,,,,
M/L/A,WSP,Handheld Fogger,Broadcast,"Greenhouse (ornamentals, roses, cut flowers, container stock, vegetables)",,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,,,,
M/L/A,WSP,Handheld Fogger,Broadcast,Food handling establishment,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,,,,
M/L/A,WSP,Handheld Fogger,Broadcast,Warehouse,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,,,,
M/L/A,WSP,Handheld Fogger,Broadcast,Poultry/livestock house/horse barn/feed lot,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,,,,
M/L/A,WSP,Handheld Fogger,Broadcast,"Residential Living Spaces (homes, apartments)",,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,,,,
M/L/A,WSP,Handheld Fogger,Broadcast,Childcare center/schools/institutions,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,,,,
M/L/A,WSP,Manually-pressurized Handwand,Broadcast,"Greenhouse (ornamentals, roses, cut flowers, container stock, vegetables)",lb ai/gallon,40,gallons,100000,430,365,No Data,No Data,No Data,30,6,3,No Data,PHED,NA,PHED Scenario 32,NA
M/L/A,WSP,Manually-pressurized Handwand,Broadcast,Wildlife management,lb ai/gallon,40,gallons,100000,430,365,No Data,No Data,No Data,30,6,3,No Data,PHED,NA,PHED Scenario 32,NA
M/L/A,WSP,Manually-pressurized Handwand,Broadcast,Mushroom house,lb ai/gallon,40,gallons,100000,430,365,No Data,No Data,No Data,30,6,3,No Data,PHED,NA,PHED Scenario 32,NA
M/L/A,WSP,Manually-pressurized Handwand,Broadcast (foliar),Christmas Tree farm,lb ai/gallon,40,gallons,100000,430,365,No Data,No Data,No Data,30,6,3,No Data,PHED,NA,PHED Scenario 32,NA
M/L/A,WSP,Manually-pressurized Handwand,Broadcast (foliar),"Nursery (ornamentals, vegetables, trees, container stock)",lb ai/gallon,40,gallons,100000,430,365,No Data,No Data,No Data,30,6,3,No Data,PHED,NA,PHED Scenario 32,NA
M/L/A,WSP,Manually-pressurized Handwand,Broadcast (foliar),"Landscaping, trees/shrubs/bushes",lb ai/gallon,40,gallons,100000,430,365,No Data,No Data,No Data,30,6,3,No Data,PHED,NA,PHED Scenario 32,NA
M/L/A,WSP,Manually-pressurized Handwand,Broadcast (foliar),"Landscaping, plants/flowers",lb ai/gallon,40,gallons,100000,430,365,No Data,No Data,No Data,30,6,3,No Data,PHED,NA,PHED Scenario 32,NA
M/L/A,WSP,Manually-pressurized Handwand,Broadcast,"Landscaping, turf (lawns, athletic fields, parks, etc.)",lb ai/gallon,40,gallons,100000,430,365,No Data,No Data,No Data,30,6,3,No Data,PHED,NA,PHED Scenario 32,NA
M/L/A,WSP,Manually-pressurized Handwand,Broadcast,"Industrial/commercial (tires, rail yards, junk yards, etc.)",lb ai/gallon,40,gallons,100000,430,365,No Data,No Data,No Data,30,6,3,No Data,PHED,NA,PHED Scenario 32,NA
M/L/A,WSP,Manually-pressurized Handwand,Broadcast,Food handling establishment,lb ai/gallon,40,gallons,29000,8600,6200,No Data,No Data,No Data,1100,220,110,No Data,PHED,NA,PHED Scenario 33,NA
M/L/A,WSP,Manually-pressurized Handwand,C&C,Food handling establishment,lb ai/gallon,40,gallons,29000,8600,6200,No Data,No Data,No Data,1100,220,110,No Data,PHED,NA,PHED Scenario 33,NA
M/L/A,WSP,Manually-pressurized Handwand,Broadcast,Warehouse,lb ai/gallon,40,gallons,29000,8600,6200,No Data,No Data,No Data,1100,220,110,No Data,PHED,NA,PHED Scenario 33,NA
M/L/A,WSP,Manually-pressurized Handwand,C&C,Warehouse,lb ai/gallon,40,gallons,29000,8600,6200,No Data,No Data,No Data,1100,220,110,No Data,PHED,NA,PHED Scenario 33,NA
M/L/A,WSP,Manually-pressurized Handwand,Broadcast,Poultry/livestock house/horse barn/feed lot,lb ai/gallon,40,gallons,100000,430,365,No Data,No Data,No Data,30,6,3,No Data,PHED,NA,PHED Scenario 32,NA
M/L/A,WSP,Manually-pressurized Handwand,Broadcast,"Animal (direct), livestock",lb ai/gallon,40,gallons,100000,430,365,No Data,No Data,No Data,30,6,3,No Data,PHED,NA,PHED Scenario 32,NA
M/L/A,WSP,Manually-pressurized Handwand,Broadcast,Foundations/perimeter,lb ai/gallon,40,gallons,100000,430,365,No Data,No Data,No Data,30,6,3,No Data,PHED,NA,PHED Scenario 32,NA
M/L/A,WSP,Manually-pressurized Handwand,Spot,Mounds/nests,lb ai/gallon,40,gallons,100000,430,365,No Data,No Data,No Data,30,6,3,No Data,PHED,NA,PHED Scenario 32,NA
M/L/A,WSP,Manually-pressurized Handwand,Broadcast,"Residential Living Spaces (homes, apartments)",lb ai/gallon,40,gallons,29000,8600,6200,No Data,No Data,No Data,1100,220,110,No Data,PHED,NA,PHED Scenario 33,NA
M/L/A,WSP,Manually-pressurized Handwand,C&C,"Residential Living Spaces (homes, apartments)",lb ai/gallon,40,gallons,29000,8600,6200,No Data,No Data,No Data,1100,220,110,No Data,PHED,NA,PHED Scenario 33,NA
M/L/A,WSP,Manually-pressurized Handwand,Broadcast,Childcare center/schools/institutions,lb ai/gallon,40,gallons,29000,8600,6200,No Data,No Data,No Data,1100,220,110,No Data,PHED,NA,PHED Scenario 33,NA
M/L/A,WSP,Manually-pressurized Handwand,C&C,Childcare center/schools/institutions,lb ai/gallon,40,gallons,29000,8600,6200,No Data,No Data,No Data,1100,220,110,No Data,PHED,NA,PHED Scenario 33,NA
M/L/A,WSP,Manually-pressurized Handwand,Broadcast (foliar),Interior landscaping,lb ai/gallon,40,gallons,100000,430,365,No Data,No Data,No Data,30,6,3,No Data,PHED,NA,PHED Scenario 32,NA
M/L/A,WSP,Manually-pressurized Handwand,Broadcast (foliar),"Structural (e.g., bridges, shipyards, home decks, foundations)",lb ai/gallon,40,gallons,100000,430,365,No Data,No Data,No Data,30,6,3,No Data,PHED,NA,PHED Scenario 32,NA
M/L/A,WSP,Mechanically-pressurized Handgun,Broadcast (foliar),Orchard/Vineyard,lb ai/gallon,1000,gallons,6050,2050,1360,No Data,No Data,No Data,8.68,1.74,0.87,No Data,AHETF,49478602,"AHETF, 2014 (AHE1013; Handgun ""ROW"" Applicator)",D424145
M/L/A,WSP,Mechanically-pressurized Handgun,Drench/Soil-/Ground-directed,Orchard/Vineyard,lb ai/gallon,1000,gallons,6050,2050,1360,No Data,No Data,No Data,8.68,1.74,0.87,No Data,AHETF,49478602,"AHETF, 2014 (AHE1013; Handgun ""ROW"" Applicator)",D424145
M/L/A,WSP,Mechanically-pressurized Handgun,Broadcast (foliar),Wildlife management,lb ai/gallon,1000,gallons,6050,2050,1360,No Data,No Data,No Data,8.68,1.74,0.87,No Data,AHETF,49478602,"AHETF, 2014 (AHE1013; Handgun ""ROW"" Applicator)",D424145
M/L/A,WSP,Mechanically-pressurized Handgun,Broadcast,"Greenhouse (ornamentals, roses, cut flowers, container stock, vegetables)",lb ai/gallon,1000,gallons,3500,2500,1600,No Data,No Data,No Data,120,24,12,No Data,PHED,NA,PHED Scenario 35,NA
M/L/A,WSP,Mechanically-pressurized Handgun,Broadcast,Mushroom house,lb ai/gallon,1000,gallons,3500,2500,1600,No Data,No Data,No Data,120,24,12,No Data,PHED,NA,PHED Scenario 35,NA
M/L/A,WSP,Mechanically-pressurized Handgun,Drench/Soil-/Ground-directed,"Greenhouse (ornamentals, roses, cut flowers, container stock, vegetables)",lb ai/gallon,1000,gallons,3500,2500,1600,No Data,No Data,No Data,120,24,12,No Data,PHED,NA,PHED Scenario 35,NA
M/L/A,WSP,Mechanically-pressurized Handgun,Broadcast,Golf course (tees and greens only),lb ai/acre,5,acres,1350,855,458,No Data,No Data,No Data,18,3.6,1.8,No Data,ORETF,44972201,"Klonne, 1999 (ORETF LCO turf handgun)","D261948 & Bangs, 2003"
M/L/A,WSP,Mechanically-pressurized Handgun,Broadcast,"Golf course (fairways, tees, greens)",lb ai/acre,5,acres,1350,855,458,No Data,No Data,No Data,18,3.6,1.8,No Data,ORETF,44972201,"Klonne, 1999 (ORETF LCO turf handgun)","D261948 & Bangs, 2003"
M/L/A,WSP,Mechanically-pressurized Handgun,Broadcast (foliar),Christmas Tree farm,lb ai/gallon,1000,gallons,6050,2050,1360,No Data,No Data,No Data,8.68,1.74,0.87,No Data,AHETF,49478602,"AHETF, 2014 (AHE1013; Handgun ""ROW"" Applicator)",D424145
M/L/A,WSP,Mechanically-pressurized Handgun,Broadcast (foliar),"Nursery (ornamentals, vegetables, trees, container stock)",lb ai/gallon,1000,gallons,6050,2050,1360,No Data,No Data,No Data,8.68,1.74,0.87,No Data,AHETF,49478602,"AHETF, 2014 (AHE1013; Handgun ""ROW"" Applicator)",D424145
M/L/A,WSP,Mechanically-pressurized Handgun,Drench/Soil-/Ground-directed,"Nursery (ornamentals, vegetables, trees, container stock)",lb ai/gallon,1000,gallons,6050,2050,1360,No Data,No Data,No Data,8.68,1.74,0.87,No Data,AHETF,49478602,"AHETF, 2014 (AHE1013; Handgun ""ROW"" Applicator)",D424145
M/L/A,WSP,Mechanically-pressurized Handgun,Broadcast (foliar),"Landscaping, trees/shrubs/bushes",lb ai/gallon,1000,gallons,6050,2050,1360,No Data,No Data,No Data,8.68,1.74,0.87,No Data,AHETF,49478602,"AHETF, 2014 (AHE1013; Handgun ""ROW"" Applicator)",D424145
M/L/A,WSP,Mechanically-pressurized Handgun,Broadcast,"Landscaping, turf (lawns, athletic fields, parks, etc.)",lb ai/acre,5,acres,1350,855,458,No Data,No Data,No Data,18,3.6,1.8,No Data,ORETF,44972201,"Klonne, 1999 (ORETF LCO turf handgun)","D261948 & Bangs, 2003"
M/L/A,WSP,Mechanically-pressurized Handgun,Broadcast,"Industrial/commercial (tires, rail yards, junk yards, etc.)",lb ai/gallon,1000,gallons,6050,2050,1360,No Data,No Data,No Data,8.68,1.74,0.87,No Data,AHETF,49478602,"AHETF, 2014 (AHE1013; Handgun ""ROW"" Applicator)",D424145
M/L/A,WSP,Mechanically-pressurized Handgun,Broadcast,Structural (termiticide),lb ai/gallon,1000,gallons,1800,640,365,No Data,No Data,No Data,79,15.8,7.9,No Data,PHED,NA,PHED Scenario 19,NA
M/L/A,WSP,Mechanically-pressurized Handgun,Broadcast,Warehouse,lb ai/gallon,1000,gallons,1800,640,365,No Data,No Data,No Data,79,15.8,7.9,No Data,PHED,NA,PHED Scenario 19,NA
M/L/A,WSP,Mechanically-pressurized Handgun,Broadcast,"Animal (direct), livestock",lb ai/gallon,1000,gallons,1800,640,365,No Data,No Data,No Data,79,15.8,7.9,No Data,PHED,NA,PHED Scenario 19,NA
M/L/A,WSP,Mechanically-pressurized Handgun,Broadcast,Poultry/livestock house/horse barn/feed lot,lb ai/gallon,1000,gallons,1800,640,365,No Data,No Data,No Data,79,15.8,7.9,No Data,PHED,NA,PHED Scenario 19,NA
M/L/A,WSP,Mechanically-pressurized Handgun,Broadcast,"Structural (e.g., bridges, shipyards, home decks, foundations)",lb ai/gallon,1000,gallons,1800,640,365,No Data,No Data,No Data,79,15.8,7.9,No Data,PHED,NA,PHED Scenario 19,NA
M/L/A,WSP,Mechanically-pressurized Handgun,Broadcast,Mosquitocide/larvacide/vector control (aquatic areas) ,lbs ai/acre,5,acres,6050,2050,1360,No Data,No Data,No Data,8.68,1.74,0.87,No Data,AHETF,49478602,"AHETF, 2014 (AHE1013; Handgun ""ROW"" Applicator)",D424145
M/L/A,WSP,Mechanically-pressurized Handgun,Broadcast,"Aquatic areas, non-flowing water (e.g., ponds, lakes, fountains)",lbs ai/acre,5,acres,6050,2050,1360,No Data,No Data,No Data,8.68,1.74,0.87,No Data,AHETF,49478602,"AHETF, 2014 (AHE1013; Handgun ""ROW"" Applicator)",D424145
M/L/A,WSP,Mechanically-pressurized Handgun,Broadcast,"Aquatic areas, flowing water (e.g., tributaries, canals)",lbs ai/cfs,200,cfs,6050,2050,1360,No Data,No Data,No Data,8.68,1.74,0.87,No Data,AHETF,49478602,"AHETF, 2014 (AHE1013; Handgun ""ROW"" Applicator)",D424145
M/L/A,WSP,Mechanically-pressurized Handgun,Broadcast (foliar),"Field crop, typical",lb ai/gallon,1000,gallons,6050,2050,1360,No Data,No Data,No Data,8.68,1.74,0.87,No Data,AHETF,49478602,"AHETF, 2014 (AHE1013; Handgun ""ROW"" Applicator)",D424145
M/L/A,WSP,Mechanically-pressurized Handgun,Drench/Soil-/Ground-directed,"Field crop, typical",lb ai/gallon,1000,gallons,6050,2050,1360,No Data,No Data,No Data,8.68,1.74,0.87,No Data,AHETF,49478602,"AHETF, 2014 (AHE1013; Handgun ""ROW"" Applicator)",D424145
L/A,Bait/repellent,Belly grinder,Broadcast,Orchard/Vineyard,lb ai/acre,1,acres,10000,9300,5700,No Data,No Data,No Data,62,12.4,6.2,No Data,PHED,NA,PHED Scenario 30,NA
L/A,Bait/repellent,Belly grinder,Broadcast,"Greenhouse (ornamentals, roses, cut flowers, container stock, vegetables)",lb ai/acre,1,acres,10000,9300,5700,No Data,No Data,No Data,62,12.4,6.2,No Data,PHED,NA,PHED Scenario 30,NA
L/A,Bait/repellent,Belly grinder,Broadcast,Wildlife management,lb ai/acre,1,acres,10000,9300,5700,No Data,No Data,No Data,62,12.4,6.2,No Data,PHED,NA,PHED Scenario 30,NA
L/A,Bait/repellent,Belly grinder,Broadcast,Christmas Tree farm,lb ai/acre,1,acres,10000,9300,5700,No Data,No Data,No Data,62,12.4,6.2,No Data,PHED,NA,PHED Scenario 30,NA
L/A,Bait/repellent,Belly grinder,Broadcast,"Nursery (ornamentals, vegetables, trees, container stock)",lb ai/acre,1,acres,10000,9300,5700,No Data,No Data,No Data,62,12.4,6.2,No Data,PHED,NA,PHED Scenario 30,NA
L/A,Bait/repellent,Belly grinder,Broadcast,"Landscaping, trees/shrubs/bushes",lb ai/acre,1,acres,10000,9300,5700,No Data,No Data,No Data,62,12.4,6.2,No Data,PHED,NA,PHED Scenario 30,NA
L/A,Bait/repellent,Belly grinder,Broadcast,"Landscaping, plants/flowers",lb ai/acre,1,acres,10000,9300,5700,No Data,No Data,No Data,62,12.4,6.2,No Data,PHED,NA,PHED Scenario 30,NA
L/A,Bait/repellent,Belly grinder,Broadcast,"Landscaping, turf (lawns, athletic fields, parks, etc.)",lb ai/acre,1,acres,10000,9300,5700,No Data,No Data,No Data,62,12.4,6.2,No Data,PHED,NA,PHED Scenario 30,NA
L/A,Bait/repellent,Belly grinder,Broadcast,"Industrial/commercial (tires, rail yards, junk yards, etc.)",lb ai/acre,1,acres,10000,9300,5700,No Data,No Data,No Data,62,12.4,6.2,No Data,PHED,NA,PHED Scenario 30,NA
L/A,Bait/repellent,Belly grinder,Broadcast,Poultry/livestock house/horse barn/feed lot,lb ai/acre,1,acres,10000,9300,5700,No Data,No Data,No Data,62,12.4,6.2,No Data,PHED,NA,PHED Scenario 30,NA
L/A,Bait/repellent,Belly grinder,Broadcast,Foundations/perimeter,lb ai/acre,1,acres,10000,9300,5700,No Data,No Data,No Data,62,12.4,6.2,No Data,PHED,NA,PHED Scenario 30,NA
L/A,Bait/repellent,Rotary spreader,Broadcast,Orchard/Vineyard,lb ai/acre,5,acres,440,240,130,No Data,No Data,No Data,10,2,1,No Data,ORETF,44972201,"Klonne, 1999 (ORETF LCO rotary spreader)","D261948 & Bangs, 2003"
L/A,Bait/repellent,Rotary spreader,Broadcast,"Nursery (ornamentals, vegetables, trees, container stock)",lb ai/acre,5,acres,440,240,130,No Data,No Data,No Data,10,2,1,No Data,ORETF,44972201,"Klonne, 1999 (ORETF LCO rotary spreader)","D261948 & Bangs, 2003"
L/A,Bait/repellent,Rotary spreader,Broadcast,"Greenhouse (ornamentals, roses, cut flowers, container stock, vegetables)",lb ai/acre,5,acres,440,240,130,No Data,No Data,No Data,10,2,1,No Data,ORETF,44972201,"Klonne, 1999 (ORETF LCO rotary spreader)","D261948 & Bangs, 2003"
L/A,Bait/repellent,Rotary spreader,Broadcast,Golf course (tees and greens only),lb ai/acre,5,acres,440,240,130,No Data,No Data,No Data,10,2,1,No Data,ORETF,44972201,"Klonne, 1999 (ORETF LCO rotary spreader)","D261948 & Bangs, 2003"
L/A,Bait/repellent,Rotary spreader,Broadcast,"Golf course (fairways, tees, greens)",lb ai/acre,5,acres,440,240,130,No Data,No Data,No Data,10,2,1,No Data,ORETF,44972201,"Klonne, 1999 (ORETF LCO rotary spreader)","D261948 & Bangs, 2003"
L/A,Bait/repellent,Rotary spreader,Broadcast,"Landscaping, turf (lawns, athletic fields, parks, etc.)",lb ai/acre,5,acres,440,240,130,No Data,No Data,No Data,10,2,1,No Data,ORETF,44972201,"Klonne, 1999 (ORETF LCO rotary spreader)","D261948 & Bangs, 2003"
L/A,Bait/repellent,Rotary spreader,Broadcast,"Industrial/commercial (tires, rail yards, junk yards, etc.)",lb ai/acre,5,acres,440,240,130,No Data,No Data,No Data,10,2,1,No Data,ORETF,44972201,"Klonne, 1999 (ORETF LCO rotary spreader)","D261948 & Bangs, 2003"
L/A,D,Bulb duster,C&C,Food handling establishment,,,,166000,24700,20600,No Data,No Data,No Data,1690,338,169,No Data,ORETF,44459801,"Merricks, 1997 (carbaryl_plunger duster; ORETF)",D287251
L/A,D,Bulb duster,C&C,Warehouse,,,,166000,24700,20600,No Data,No Data,No Data,1690,338,169,No Data,ORETF,44459801,"Merricks, 1997 (carbaryl_plunger duster; ORETF)",D287251
L/A,D,Bulb duster,C&C,"Residential Living Spaces (homes, apartments)",,,,166000,24700,20600,No Data,No Data,No Data,1690,338,169,No Data,ORETF,44459801,"Merricks, 1997 (carbaryl_plunger duster; ORETF)",D287251
L/A,D,Bulb duster,C&C,Childcare center/schools/institutions,,,,166000,24700,20600,No Data,No Data,No Data,1690,338,169,No Data,ORETF,44459801,"Merricks, 1997 (carbaryl_plunger duster; ORETF)",D287251
L/A,D,Plunger duster,Broadcast,Foundations/perimeter,,,,166000,24700,20600,No Data,No Data,No Data,1690,338,169,No Data,ORETF,44459801,"Merricks, 1997 (carbaryl_plunger duster; ORETF)",D287251
L/A,D,Plunger duster,Broadcast,Interior landscaping,,,,166000,24700,20600,No Data,No Data,No Data,1690,338,169,No Data,ORETF,44459801,"Merricks, 1997 (carbaryl_plunger duster; ORETF)",D287251
L/A,G,Backpack,Ground/soil-directed,Orchard/Vineyard,lb ai/acre,1,acres,155,144,72.6,No Data,No Data,No Data,23.8,4.76,2.38,No Data,Proprietary,45250702 / 45167201,"Pontal, 1996 (fipronil_bananas_backpack) / Urtizberea, 1999 (aldicarb_bananas_backpack)",D270065 / D267546
L/A,G,Backpack,Ground/soil-directed,"Greenhouse (ornamentals, roses, cut flowers, container stock, vegetables)",lb ai/acre,1,acres,155,144,72.6,No Data,No Data,No Data,23.8,4.76,2.38,No Data,Proprietary,45250702 / 45167201,"Pontal, 1996 (fipronil_bananas_backpack) / Urtizberea, 1999 (aldicarb_bananas_backpack)",D270065 / D267546
L/A,G,Backpack,Ground/soil-directed,Christmas Tree farm,lb ai/acre,1,acres,155,144,72.6,No Data,No Data,No Data,23.8,4.76,2.38,No Data,Proprietary,45250702 / 45167201,"Pontal, 1996 (fipronil_bananas_backpack) / Urtizberea, 1999 (aldicarb_bananas_backpack)",D270065 / D267546
L/A,G,Backpack,Ground/soil-directed,Forestry,lb ai/acre,1,acres,155,144,72.6,No Data,No Data,No Data,23.8,4.76,2.38,No Data,Proprietary,45250702 / 45167201,"Pontal, 1996 (fipronil_bananas_backpack) / Urtizberea, 1999 (aldicarb_bananas_backpack)",D270065 / D267546
L/A,G,Backpack,Ground/soil-directed,"Nursery (ornamentals, vegetables, trees, container stock)",lb ai/acre,1,acres,155,144,72.6,No Data,No Data,No Data,23.8,4.76,2.38,No Data,Proprietary,45250702 / 45167201,"Pontal, 1996 (fipronil_bananas_backpack) / Urtizberea, 1999 (aldicarb_bananas_backpack)",D270065 / D267546
L/A,G,Backpack,Ground/soil-directed (spot),Poultry/livestock house/horse barn/feed lot,lb ai/acre,1,acres,155,144,72.6,No Data,No Data,No Data,23.8,4.76,2.38,No Data,Proprietary,45250702 / 45167201,"Pontal, 1996 (fipronil_bananas_backpack) / Urtizberea, 1999 (aldicarb_bananas_backpack)",D270065 / D267546
L/A,G,Backpack,Ground/soil-directed (spot),"Industrial/commercial (tires, rail yards, junk yards, etc.)",lb ai/acre,1,acres,155,144,72.6,No Data,No Data,No Data,23.8,4.76,2.38,No Data,Proprietary,45250702 / 45167201,"Pontal, 1996 (fipronil_bananas_backpack) / Urtizberea, 1999 (aldicarb_bananas_backpack)",D270065 / D267546
L/A,G,Backpack,Broadcast,"Industrial/commercial (tires, rail yards, junk yards, etc.)",lb ai/acre,1,acres,155,144,72.6,No Data,No Data,No Data,23.8,4.76,2.38,No Data,Proprietary,45250702 / 45167201,"Pontal, 1996 (fipronil_bananas_backpack) / Urtizberea, 1999 (aldicarb_bananas_backpack)",D270065 / D267546
L/A,G,Backpack,Broadcast,Mosquitocide/larvacide/vector control (aquatic areas) ,lbs ai/acre,5,acres,155,144,72.6,No Data,No Data,No Data,23.8,4.76,2.38,No Data,Proprietary,45250702 / 45167201,"Pontal, 1996 (fipronil_bananas_backpack) / Urtizberea, 1999 (aldicarb_bananas_backpack)",D270065 / D267546
L/A,G,Backpack,Broadcast,"Aquatic areas, non-flowing water (e.g., ponds, lakes, fountains)",lbs ai/acre,5,acres,155,144,72.6,No Data,No Data,No Data,23.8,4.76,2.38,No Data,Proprietary,45250702 / 45167201,"Pontal, 1996 (fipronil_bananas_backpack) / Urtizberea, 1999 (aldicarb_bananas_backpack)",D270065 / D267546
L/A,G,Backpack,Broadcast,"Aquatic areas, flowing water (e.g., tributaries, canals)",lbs ai/cfs,200,cfs,155,144,72.6,No Data,No Data,No Data,23.8,4.76,2.38,No Data,Proprietary,45250702 / 45167201,"Pontal, 1996 (fipronil_bananas_backpack) / Urtizberea, 1999 (aldicarb_bananas_backpack)",D270065 / D267546
L/A,G,Belly grinder,Broadcast,Orchard/Vineyard,lb ai/acre,1,acres,10000,9300,5700,No Data,No Data,No Data,62,12.4,6.2,No Data,PHED,NA,PHED Scenario 30,NA
L/A,G,Belly grinder,Broadcast,"Greenhouse (ornamentals, roses, cut flowers, container stock, vegetables)",lb ai/acre,1,acres,10000,9300,5700,No Data,No Data,No Data,62,12.4,6.2,No Data,PHED,NA,PHED Scenario 30,NA
L/A,G,Belly grinder,Broadcast,Wildlife management,lb ai/acre,1,acres,10000,9300,5700,No Data,No Data,No Data,62,12.4,6.2,No Data,PHED,NA,PHED Scenario 30,NA
