pccode,casnum,pcname
315,119619,"Methanone, diphenyl-                                                                                                                                                                                                                                         "
325,220899036,METRAFENONE                                                                                                                                                                                                                                                  
325,220899036,BAS  560 F (BASF  designations a.i. name)                                                                                                                                                                                                                    
325,220899036,"(3-bromo-6-methoxy-2-methylphenyl)(2,3,4-trimethoxy-6-methylphenyl)methanone                                                                                                                                                                                 "
352,12124979,Ammonium bromide                                                                                                                                                                                                                                             
401,91496,N-Butylacetanilide                                                                                                                                                                                                                                           
401,91496,"Acetamide, N-butyl-N-phenyl-                                                                                                                                                                                                                                 "
439,70592802,"Amine oxides, C10-16-alkyldimethyl                                                                                                                                                                                                                           "
439,70592802,"Amines, C10-16-alkyldimethyl, N-oxides                                                                                                                                                                                                                       "
501,8048520,"Acridinium, 3,6-diamino-10-methyl-, chloride, mixt. with 3,6-acridinediamine                                                                                                                                                                                 "
501,8048520,Acriflavine (neutral base)                                                                                                                                                                                                                                   
501,8048520,"3,6-Acridinediamine, mixt. with 3,6-diamino-10-methylacridinium chloride                                                                                                                                                                                     "
501,8048520,Neutral acriflavine                                                                                                                                                                                                                                          
501,8048520,Gonacrine                                                                                                                                                                                                                                                    
501,8048520,Trypaflavin                                                                                                                                                                                                                                                  
501,8048520,Euflavine                                                                                                                                                                                                                                                    
501,8048520,"3,6-Diamino-10-methylacridinium chloride & 3,6-diaminoacridine, mixt.                                                                                                                                                                                        "
501,8048520,Neutroflavine                                                                                                                                                                                                                                                
501,8048520,Trypaflavine neutral                                                                                                                                                                                                                                         
586,149877418,Bifenazate                                                                                                                                                                                                                                                   
586,149877418,D 2341                                                                                                                                                                                                                                                       
586,149877418,"Hydrazinecarboxylic acid, 2-(4-methoxy{1,1'-biphenyl}-3-yl)-, 1-methylethyl ester                                                                                                                                                                            "
595,79210,Hydrogen peroxide                                                                                                                                                                                                                                            
595,79210,"Actril II, component of   (with 063201)    (Cold Sterilant)                                                                                                                                                                                                  "
595,79210,Superoxol                                                                                                                                                                                                                                                    
595,79210,"Actril, component of  (with 063201)   (Cold Sterilant)                                                                                                                                                                                                       "
595,79210,Albone                                                                                                                                                                                                                                                       
595,79210,Hydrogen dioxide                                                                                                                                                                                                                                             
595,7722841,Hydrogen peroxide                                                                                                                                                                                                                                            
595,7722841,"Actril II, component of   (with 063201)    (Cold Sterilant)                                                                                                                                                                                                  "
595,7722841,Superoxol                                                                                                                                                                                                                                                    
595,7722841,"Actril, component of  (with 063201)   (Cold Sterilant)                                                                                                                                                                                                       "
595,7722841,Albone                                                                                                                                                                                                                                                       
595,7722841,Hydrogen dioxide                                                                                                                                                                                                                                             
596,10102440,Nitrogen dioxide                                                                                                                                                                                                                                             
601,107131,"Carbacryl, component of    (with 016501)                                                                                                                                                                                                                     "
601,107131,2-Propenenitrile                                                                                                                                                                                                                                             
601,107131,"Acrylofume, component of    (with 016501, 020701 and 081501)                                                                                                                                                                                                 "
601,107131,Vinyl cyanide                                                                                                                                                                                                                                                
601,107131,"Acrylon, component of     (with 016501)                                                                                                                                                                                                                      "
601,107131,"Acritet, component of    (with 016501)                                                                                                                                                                                                                       "
601,107131,"Ventox, component of    (with 016501)                                                                                                                                                                                                                        "
601,107131,Acrylonitrile                                                                                                                                                                                                                                                
601,107131,Cyanoethylene                                                                                                                                                                                                                                                
611,68911499,Dried blood                                                                                                                                                                                                                                                  
611,68911499,"Blood, glyoxal-denatured, dried                                                                                                                                                                                                                              "
611,68911499,Bloodmeal Deer Repellant                                                                                                                                                                                                                                     
660,58082,"1H-Purine-2,6-dione, 3,7-dihydro-1,3,7-trimethyl-                                                                                                                                                                                                            "
660,58082,"1,3,7-Trimethylxanthine                                                                                                                                                                                                                                      "
660,58082,Caffein                                                                                                                                                                                                                                                      
660,58082,7-Methyltheophylline                                                                                                                                                                                                                                         
660,58082,"1,3,7-Trimethyl-2,6-dioxopurine                                                                                                                                                                                                                              "
660,58082,Caffeine                                                                                                                                                                                                                                                     
669,8006824,"Oils, black pepper                                                                                                                                                                                                                                           "
669,8006824,Oil of black pepper                                                                                                                                                                                                                                          
669,8002560,"Oils, black pepper                                                                                                                                                                                                                                           "
669,8002560,Oil of black pepper                                                                                                                                                                                                                                          
691,131577,Oxybenzone                                                                                                                                                                                                                                                   
691,131577,"Methanone, (2-hydroxy-4-methoxyphenyl)phenyl-                                                                                                                                                                                                                "
691,131577,2-Hydroxy-4-methoxybenzophenone                                                                                                                                                                                                                              
692,365400119,"Methanone, (5-hydroxy-1,3-dimethyl-1H-pyrazol-4-yl) [2-(methylsulfonyl)-4-(trifluoromethyl) phenyl]-                                                                                                                                                         "
692,365400119,Pyrasulfotole Technical                                                                                                                                                                                                                                      
701,107028,Crolean                                                                                                                                                                                                                                                      
701,107028,Acrylaldehyde                                                                                                                                                                                                                                                
701,107028,NSC 8819                                                                                                                                                                                                                                                     
701,107028,2-Propen-1-one                                                                                                                                                                                                                                               
701,107028,Acrylic aldehyde                                                                                                                                                                                                                                             
701,107028,Magnacide H                                                                                                                                                                                                                                                  
701,107028,Prop-2-en-1-al                                                                                                                                                                                                                                               
701,107028,Acquinite                                                                                                                                                                                                                                                    
701,107028,Acrolein                                                                                                                                                                                                                                                     
701,107028,Allyl aldehyde                                                                                                                                                                                                                                               
701,107028,2-Propenal                                                                                                                                                                                                                                                   
701,107028,Aqualin                                                                                                                                                                                                                                                      
711,71317732,Navel orangeworm pheromone                                                                                                                                                                                                                                   
711,71317732,"(Z,Z)-11,13-Hexadecadienal                                                                                                                                                                                                                                   "
711,71317732,Paramount puffer now                                                                                                                                                                                                                                         
711,71317732,"11,13-Hexadecadienal, (Z,Z)-                                                                                                                                                                                                                                 "
803,435327063,"3-Ketopetromyzonol-24-sulfate, ammonium salt                                                                                                                                                                                                                 "
905,68439576,Sodium C14-16 alpha-olefin sulfonate                                                                                                                                                                                                                         
905,68439576,"Alkenes, C14-16 alpha-, sulfonated, sodium salts                                                                                                                                                                                                             "
905,68439576,Sodium (C14-16) olefin sulfonate                                                                                                                                                                                                                             
905,68439576,"Sulfonic acids, C14-16-alkane hydroxy and C14-16-alkene, sodium salts                                                                                                                                                                                        "
1001,828002,"2,6-Dimethyl-m-dioxan-4-ol acetate                                                                                                                                                                                                                           "
1001,828002,"2,6-Dimethyl-m-dioxan-4-yl acetate                                                                                                                                                                                                                           "
1001,828002,"1,3-Dioxan-4-ol, 2,6-dimethyl-, acetate                                                                                                                                                                                                                      "
1001,828002,Dimethoxane                                                                                                                                                                                                                                                  
1001,828002,"6-Acetoxy-2,4-dimethyl-m-dioxane                                                                                                                                                                                                                             "
