1,0,-4.3,20.52,9.520021967
2,0,-4.8,12.24,9.530444129
3,0,0.8,7.2,9.541837127
4,0.33,1.7,14.04,9.554190197
5,1.78,3.9,9.36,9.567491751
6,1.22,2.9,7.92,9.581729413
7,1.12,-2.2,14.4,9.596890068
8,0.36,-1.8,21.24,9.612959894
9,0,-2.2,18,9.629924415
10,0,2.4,23.76,9.647768538
11,0,5.5,24.84,9.666476604
12,0,-3.6,28.44,9.686032431
13,0,-4.9,12.96,9.706419364
14,0,-2.8,11.16,9.727620319
15,0,2.8,11.16,9.74961783
16,0,6.8,10.8,9.772394099
17,0,7.9,16.92,9.795931037
18,0.48,6.4,16.2,9.820210311
19,0,4,13.32,9.84521339
20,2.92,-0.6,12.24,9.870921587
21,0.89,3.2,24.48,9.897316099
22,0,0.7,20.16,9.924378049
23,0,4.1,11.88,9.952088527
24,2.95,1.3,6.84,9.980428623
25,1.91,2.2,14.76,10.00937947
26,0,-4.4,20.16,10.03892225
27,0,-0.3,15.12,10.06903829
28,0,1.7,14.04,10.09970902
29,0.64,3.7,19.44,10.13091603
30,0,-1,5.4,10.16264111
31,0,2.7,10.08,10.19486626
32,0,2.7,10.08,10.22757371
33,0,7.2,15.12,10.26074594
34,0,8.3,14.76,10.29436572
35,0.69,6.4,25.92,10.3284161
36,0,1.5,12.96,10.36288041
37,0.03,3.1,12.24,10.39774233
38,0.1,5.2,15.48,10.43298587
39,0,4.3,6.84,10.46859534
40,4.22,3.5,10.08,10.50455543
41,0.58,3.2,19.44,10.54085118
42,0,2.7,15.84,10.57746796
43,0,4.9,11.88,10.61439152
44,0,6.7,20.52,10.65160799
45,0,8.5,16.2,10.68910382
46,0,10.1,18.72,10.72686585
47,4.57,6.7,14.4,10.76488129
48,0,4.2,16.56,10.8031377
49,6.53,-4.6,21.24,10.84162298
50,1.24,2.9,7.56,10.8803254
51,0,3.8,15.84,10.91923359
52,0,-1.4,21.6,10.95833648
53,1.02,5.5,18,10.99762338
54,0,4,27.36,11.03708391
55,0,1.6,32.76,11.07670799
56,0,-4.7,19.8,11.11648588
57,0,-5.8,16.2,11.15640814
58,0,1.5,12.96,11.19646561
59,0,6.4,14.04,11.23664942
60,0,2.8,19.44,11.27695098
61,3.12,-2.2,13.68,11.31736195
62,0.18,5.4,13.68,11.35787427
63,0,4.5,7.92,11.3984801
64,0,3.9,10.44,11.43917185
65,0,7.1,11.88,11.47994212
66,0,1.4,23.04,11.52078376
67,1.14,-6.8,17.28,11.5616898
68,1.55,-2.1,8.64,11.60265345
69,0,11.7,13.32,11.64366811
70,0,12.4,11.52,11.68472733
71,0,13.5,9.72,11.72582482
72,0,12.5,9,11.76695445
73,0,11.5,15.84,11.80811018
74,0.58,11.7,21.6,11.84928613
75,4.45,8.2,18.36,11.89047648
76,8.03,4.4,18.36,11.93167556
77,0,5.9,12.6,11.97287773
78,0,6.9,21.96,12.01407745
79,0,-1.1,16.2,12.05526925
80,0,1.7,10.8,12.09644768
81,0,6.3,20.16,12.13760734
82,0,10.2,14.04,12.17874286
83,0,10.2,15.84,12.21984889
84,0,9.6,17.64,12.26092008
85,0.71,1.1,12.24,12.30195105
86,0,2.2,18.72,12.34293643
87,0,3.7,16.92,12.38387082
88,0.74,-0.6,19.08,12.42474876
89,0.18,-1.6,16.92,12.46556475
90,0.08,6.7,12.24,12.50631324
91,0,11.8,15.48,12.5469886
92,0,10.6,16.92,12.58758511
93,0,0.5,22.32,12.62809696
94,0,3,20.16,12.66851825
95,0,9.4,19.8,12.70884296
96,0.51,6.8,19.8,12.74906494
97,0,1.1,15.12,12.78917792
98,0,2.6,15.12,12.8291755
99,0,6.4,19.44,12.8690511
100,1.6,8.5,26.28,12.908798
101,0,3.6,25.92,12.94840931
102,0,2.1,18.36,12.98787797
103,0,4.2,16.92,13.02719672
104,0.13,8.3,14.4,13.06635811
105,0.13,9.2,14.4,13.10535451
106,0,11.2,11.16,13.14417807
107,0,14,21.96,13.1828207
108,0,3.6,24.12,13.22127413
109,0,3.2,20.16,13.25952984
110,0,8.5,15.12,13.29757907
111,0,8.4,18.36,13.33541285
112,0,11.5,11.52,13.37302193
113,0,11.7,9.72,13.41039685
114,0,13.1,12.6,13.44752786
115,0,14,11.16,13.48440498
116,0,14.6,12.96,13.52101796
117,0,14.3,15.84,13.5573563
118,3.1,7.7,20.52,13.59340923
119,0,9.2,13.32,13.62916573
120,0,13.4,15.84,13.66461451
121,0,16.8,17.64,13.69974403
122,0,16.8,15.12,13.73454247
123,0,14.5,20.16,13.76899778
124,0.1,13.3,15.12,13.80309764
125,0.89,11.1,20.16,13.8368295
126,0,5.9,12.96,13.87018056
127,0,8.7,15.12,13.90313779
128,0,9.7,12.6,13.93568792
129,1.07,7,17.64,13.9678175
130,0.18,9.7,27.72,13.99951283
131,0,8.7,10.8,14.03076004
132,0,12.2,17.64,14.06154508
133,0,11.8,17.64,14.09185371
134,0,15.4,11.16,14.12167155
135,0,16.3,15.48,14.15098409
136,0,17.2,18.36,14.17977669
137,0.74,14,21.96,14.20803461
138,0,12.1,12.6,14.23574303
139,0,13.3,15.84,14.26288706
140,1.24,14.7,19.08,14.28945178
141,0.53,13.3,19.08,14.31542227
142,0,10.7,21.6,14.34078358
143,0,8.5,12.24,14.36552084
144,0,11.4,9.36,14.38961921
145,0,13.9,12.24,14.41306395
146,0,15,14.4,14.43584044
147,0.08,14.3,14.76,14.45793419
