FIPS,name,hwbi,moe,cn,cn_moe,cf,cf_moe,ed,ed_moe,he,he_moe,lt,lt_moe,ls,ls_moe,ss,ss_moe,sc,sc_moe
12037,"Franklin County, Florida",47.40245495,2.244105276,84.78135263,10.33289865,34.32705403,10.10535795,30.98369704,3.328660116,54.15561079,3.101248133,54.76507852,3.539812657,48.81066467,4.079569591,54.44230692,4.993556027,35.87055917,3.111537857
12039,"Gadsden County, Florida",45.74804725,2.276306299,57.36498253,11.28341213,35.00130185,10.08771119,34.48554515,3.326737788,57.54362284,2.171506693,59.82560908,2.396031322,47.54632033,3.903141461,44.82264371,5.047084411,37.76709834,2.655973565
12041,"Gilchrist County, Florida",52.49272307,2.238891382,49.12756064,10.6560465,48.44022201,10.54561134,50.97472476,3.264923013,56.66192821,2.120334153,55.46052891,2.05055264,50.77386399,3.925997045,62.90012481,4.944599704,47.3521308,2.573758828
12043,"Glades County, Florida",51.14523801,2.759820707,34.7207638,11.52674048,50.75539678,11.16498752,57.25431768,3.314658419,52.91420828,3.429809312,52.05563705,3.174957527,52.38310103,3.972926586,58.57127825,5.071428296,54.90930119,3.118447773
12045,"Gulf County, Florida",52.64152461,2.733566664,34.7207638,11.51800264,51.45656863,10.47691577,62.2775642,3.367624438,57.4110645,1.932529301,51.33961298,2.356454555,52.46148875,4.018260276,60.55108962,4.965407357,56.60505249,2.726122774
12047,"Hamilton County, Florida",48.22247745,2.209077483,84.78135263,10.267596,34.82961046,10.10687132,30.89387714,3.318692495,55.05803825,2.201388988,54.85873795,2.656655427,47.33460538,4.064929483,60.64982478,4.999058156,36.96578382,2.811520227
12049,"Hardee County, Florida",49.71100636,1.914218848,90,10.43115138,45.66097227,9.94743922,35.51250856,3.246583456,52.54733848,2.03890081,54.25186969,2.420198567,43.84688207,4.021916599,55.42001279,4.941861835,36.88762161,2.805863465
12051,"Hendry County, Florida",50.92616638,2.809111748,34.7207638,11.53691345,44.29962829,11.01621544,60.10699288,3.28364106,53.80207975,2.014503784,56.71412285,1.98394737,54.273644,4.060679611,55.34543219,5.036414529,53.38908464,2.921896302
12053,"Hernando County, Florida",52.20794554,2.095132484,57.36498253,11.34094908,49.79730105,10.64537274,54.49508598,2.760030322,52.67887408,1.887882612,54.03012628,2.081204747,49.57989328,2.204995142,58.14908231,4.842581592,43.20777425,2.745997663
12055,"Highlands County, Florida",50.11700044,2.182561363,47.3043937,10.53310486,47.32997987,10.68293996,45.02331445,2.794875575,49.05856858,2.444051499,60.46008035,1.894804524,53.78079233,2.413170254,53.97654702,4.941732009,45.85528646,2.569365702
12057,"Hillsborough County, Florida",50.52750084,2.119577073,49.12756064,10.65072135,49.54858494,10.59577398,47.70895898,2.811152363,53.45718127,1.968734688,58.15890552,1.965266485,51.9586491,2.182201238,54.62569493,4.92888495,41.45615706,2.626886645
12059,"Holmes County, Florida",51.96439543,2.644425551,34.7207638,11.53944578,57.51497334,10.56618569,57.25496352,3.313640602,55.11926766,2.004429102,50.33976722,2.099638834,51.99443707,4.022326953,62.12073465,4.925078265,51.88664514,2.77133091
12061,"Indian River County, Florida",49.68926045,2.155557956,57.36498253,11.36898771,40.71825513,9.990502889,37.72323841,2.805637289,58.46959516,1.825504391,56.56883749,2.083550364,52.57199436,2.19704847,57.97538858,4.87352023,41.83596676,2.739263163
12063,"Jackson County, Florida",49.08130433,2.084421361,90,10.43204622,38.29753207,9.990000069,35.50042045,3.247601618,56.10042779,2.100755928,54.32727331,2.419002291,46.6036072,4.05746447,52.89197974,4.930536355,36.63435355,2.820428759
12065,"Jefferson County, Florida",52.3327876,2.287192613,47.3043937,10.50570256,47.82070768,10.64984138,50.43263067,3.324876876,59.23374252,1.982614821,59.35026788,1.854605049,50.57295811,3.889016851,55.24459079,5.016679329,50.20672284,2.620589476
12067,"Lafayette County, Florida",56.01108181,2.864622936,34.7207638,11.56479396,63.25990648,11.3588497,68.85092445,3.274423285,60.46838358,3.088086531,49.05451273,3.367164798,54.94089856,4.053013295,60.04743634,4.993508634,65.45857415,3.1268621
12069,"Lake County, Florida",53.31836273,2.258495869,47.3043937,10.63803684,48.95623166,10.75007272,54.55380718,2.663185999,56.99420757,1.811209367,58.1987389,1.778473547,55.8977716,2.139135026,56.86219634,4.933129157,49.0362775,2.559154363
12071,"Lee County, Florida",47.7997792,2.207942099,57.36498253,11.35296133,37.15592183,10.1258917,34.0929754,2.820159439,55.22517678,1.872888442,60.84671113,2.273539787,50.48188764,2.061665298,55.81337607,4.827563817,39.61131044,2.680370557
12073,"Leon County, Florida",48.30420422,2.219283199,57.36498253,11.28798276,37.2525777,10.0291361,36.7286169,2.89643908,59.31618209,1.817960242,62.16060626,2.285925908,48.41929087,1.92092585,52.79356226,5.10162871,40.06672662,2.679232847
12075,"Levy County, Florida",50.40853319,2.125297407,84.78135263,10.34654481,38.34641956,10.170978,39.61456051,3.315104904,54.9327617,1.903906863,51.51041812,2.391863137,47.77437328,3.802776865,55.74154939,4.926845337,42.95877976,2.720970041
12077,"Liberty County, Florida",49.22439446,3.077816196,90,10.44346565,22.92478471,10.34349158,39.22104014,3.382949794,60.72119427,3.237630226,55.61331093,3.510614661,45.73585481,3.968818536,68.53259531,4.971551159,40.24418538,3.145784376
12079,"Madison County, Florida",48.69299418,2.171045947,57.86311365,11.27756873,41.20260438,10.01109217,40.12022468,3.240129681,56.71744988,2.071623923,56.79435216,2.172838515,48.10024052,3.963082192,49.7256042,4.990198093,42.88376011,2.721426924
12081,"Manatee County, Florida",50.8655913,2.181425889,49.12756064,10.64747578,47.52220923,10.7030895,46.55695462,2.769414438,56.49542406,1.847742171,60.75397909,1.735669863,53.84507583,2.274195289,51.64357695,4.957950627,43.19525921,2.587138807
12083,"Marion County, Florida",49.92907649,2.151444565,49.12756064,10.68213108,47.06826412,10.76402519,45.18527876,2.80240713,53.07612406,1.708705036,59.9154648,1.754066963,50.54102056,2.054642999,54.17423068,4.890487247,42.45247597,2.586592258
12085,"Martin County, Florida",50.62440198,2.214197966,57.36498253,11.26573773,39.60356007,9.980972144,34.75992121,2.830635066,59.12878492,1.812971989,61.76649389,2.278928754,56.40677158,2.167087737,65.34399221,4.868123416,40.58173024,2.688616529
12086,"Miami-Dade County, Florida",49.47142314,2.111372041,49.12756064,10.62981329,48.98374365,10.60749404,46.00783252,2.778870178,57.92440093,1.772803744,57.0487116,2.06177238,48.56927796,2.650206759,50.40882148,4.979327174,40.05444335,2.607203735
12087,"Monroe County, Florida",51.06826371,2.2450224,84.78135263,10.28222978,34.72392892,10.06392921,34.74691175,3.045062645,55.36191122,2.07233616,57.23686689,2.481676647,57.42285017,3.01853002,63.02339602,5.067171351,39.43572729,2.728922191
